cement_kg_m3,blast_furnace_slag_kg_m3,fly_ash_kg_m3,water_kg_m3,superplasticizer_kg_m3,coarse_aggregate_kg_m3,fine_aggregate_kg_m3,age_days,compressive_strength_mpa,estimated_co2_kg_m3,estimated_material_cost_index
411.33,191.51,138.27,136.23,18.42,854.22,921.09,28,69.378,395.27,114.34
418.99,57.16,84.86,229.48,6.16,978.82,628.94,56,52.191,371.69,73.07
365.85,34.85,162.71,216.46,20.45,843.88,912.54,365,67.12,349.38,103.97
475.27,77.0,174.14,128.55,10.18,861.64,928.05,90,78.813,429.14,94.84
243.33,40.3,181.14,208.58,8.07,1046.83,924.09,14,22.76,226.19,59.45
151.54,59.1,139.53,187.89,5.84,952.86,858.72,180,30.56,145.08,42.5
463.87,17.41,115.61,171.58,17.31,1100.17,915.93,180,79.301,425.51,104.77
489.12,170.73,78.18,181.79,27.98,1050.82,877.01,56,81.24,474.03,143.72
178.32,152.35,43.03,206.72,26.08,938.17,694.12,14,23.623,204.83,98.99
142.24,217.54,7.36,185.29,10.49,865.09,553.08,14,19.546,153.07,58.82
214.85,72.61,80.86,155.76,5.37,1142.21,916.61,56,22.386,197.91,47.53
494.35,68.78,162.97,159.09,4.94,1121.37,626.1,1,41.334,436.17,83.0
535.08,155.35,94.67,134.55,9.82,1039.96,619.11,3,54.813,483.29,103.41
359.99,131.22,121.65,207.52,18.22,1044.97,841.75,56,50.645,346.76,102.8
245.68,127.53,41.85,127.32,12.78,1069.37,807.39,7,33.339,239.04,72.04
397.14,2.76,114.1,222.92,25.51,1000.71,553.17,7,35.822,380.86,116.18
183.04,109.71,150.67,170.33,24.88,1087.06,932.02,90,42.661,206.08,97.86
490.28,15.45,2.6,198.88,26.78,906.48,657.61,7,44.79,460.72,126.97
456.89,12.14,5.86,150.67,20.02,1027.9,572.46,14,41.417,421.35,105.95
178.08,49.22,62.39,233.58,13.86,1079.05,693.56,28,3.0,178.23,61.95
218.72,133.39,118.09,163.08,0.18,1067.05,769.37,56,35.819,197.9,40.76
359.81,142.75,132.56,166.65,29.53,1010.09,659.05,3,43.489,365.74,132.31
353.65,156.73,10.23,152.93,9.99,1092.35,914.82,3,40.825,327.76,78.78
219.78,88.26,28.77,185.46,12.95,950.83,780.07,90,21.693,214.28,66.07
404.94,152.42,91.96,185.9,16.61,1085.97,572.62,28,55.839,383.28,104.46
495.06,30.39,171.44,197.34,22.78,907.24,829.43,28,70.94,462.81,125.35
501.72,14.92,140.16,136.65,7.82,1015.35,667.73,14,63.211,442.82,86.41
485.68,218.5,79.79,132.16,10.52,905.55,644.87,7,66.147,446.54,103.06
443.59,196.86,82.66,120.2,3.71,895.07,687.76,56,74.474,398.42,79.6
256.34,99.13,174.49,138.24,21.96,828.37,948.54,90,54.255,263.45,99.58
207.06,196.71,32.34,195.38,0.32,1127.94,635.7,90,30.037,190.93,40.7
425.06,43.83,161.56,122.86,18.47,1112.15,892.53,180,76.666,397.16,106.72
151.03,144.36,148.3,178.29,18.77,999.47,640.19,1,19.197,171.47,81.07
362.06,23.71,164.28,154.16,1.03,1117.16,585.35,90,56.509,314.35,54.26
353.06,193.82,23.48,164.11,21.19,1127.32,749.03,7,46.566,348.05,109.86
386.88,133.2,0.05,183.92,14.08,1148.62,583.01,3,28.47,360.7,90.95
484.82,78.05,69.22,120.88,10.85,1135.89,613.82,14,61.537,436.31,93.54
364.53,7.27,135.2,132.75,0.28,1138.47,730.52,56,56.552,313.51,50.37
382.72,210.47,177.2,158.7,21.65,927.86,562.91,180,87.345,378.24,121.88
443.35,185.9,101.0,152.27,20.62,943.65,569.48,7,58.644,424.87,121.8
132.19,2.06,108.82,221.61,5.38,1062.03,687.67,1,3.0,123.28,33.8
434.93,192.43,115.82,127.66,17.22,893.52,592.87,1,44.338,413.02,113.34
510.08,112.51,93.75,138.37,22.76,1124.94,563.96,28,73.667,479.73,129.73
319.78,108.75,173.07,145.08,4.39,868.97,851.77,1,31.8,289.91,63.88
294.82,187.46,67.49,129.3,12.98,1140.83,833.56,28,45.374,285.84,83.65
264.84,74.86,103.6,194.63,2.86,938.48,816.63,90,38.032,237.01,48.32
382.01,179.04,76.77,151.69,0.73,839.38,837.96,56,64.623,339.95,63.27
376.89,190.24,37.62,199.39,29.46,974.68,835.06,365,75.375,381.56,133.7
372.98,178.02,161.81,227.51,18.33,859.19,641.67,365,81.773,362.06,109.53
500.81,143.3,47.24,221.7,18.41,859.22,555.49,365,85.73,466.12,118.05
455.2,188.03,176.84,194.74,15.61,1093.12,676.27,56,88.598,428.59,113.88
412.68,107.53,94.94,213.02,23.84,993.56,802.99,28,47.646,398.35,120.46
526.27,118.81,115.97,129.35,0.7,1146.34,850.03,3,55.694,459.09,77.86
216.86,159.67,56.63,154.28,26.42,944.94,769.92,56,40.548,238.92,105.52
413.96,77.67,100.54,125.26,0.23,868.48,911.31,365,70.413,359.68,59.7
158.29,77.21,87.54,148.02,19.65,1030.12,823.62,14,17.939,173.14,77.02
227.36,22.19,43.76,195.22,2.01,924.54,918.38,14,13.189,198.91,35.62
206.7,216.47,133.99,216.73,15.74,1075.67,808.16,56,45.907,218.72,84.67
184.32,3.3,98.91,138.03,6.17,1110.46,629.75,14,14.036,168.76,41.74
465.91,44.93,67.1,215.45,26.05,981.11,767.83,14,47.954,442.19,126.87
217.71,219.49,41.47,132.41,11.58,1105.56,639.34,3,24.917,219.78,72.11
499.42,86.61,184.23,211.98,22.97,935.95,674.23,1,49.366,471.0,130.78
316.64,195.07,78.86,152.39,8.5,832.29,892.45,365,66.471,297.98,76.06
327.52,191.68,148.08,145.13,16.64,1138.11,729.36,365,84.163,321.39,100.23
293.76,142.53,167.87,205.97,0.51,943.65,904.44,3,37.95,263.84,53.21
365.37,174.91,58.34,218.2,17.19,1089.56,857.19,56,60.298,351.48,101.39
436.15,62.52,5.47,130.48,29.24,1039.01,573.28,90,60.209,422.01,130.05
459.5,28.06,119.99,196.92,17.09,930.65,785.45,28,56.078,422.29,104.63
149.31,52.24,156.11,130.6,2.01,872.14,738.49,14,26.88,136.91,32.84
173.37,12.62,50.03,165.31,0.42,894.41,621.55,3,3.0,149.92,24.74
484.76,120.39,70.98,139.76,10.63,878.33,606.63,7,55.307,438.9,96.0
345.03,32.86,189.68,189.08,9.51,1121.14,882.26,180,63.193,314.58,75.06
148.36,53.48,118.28,224.71,4.19,874.08,782.23,180,13.914,138.92,36.75
212.47,216.11,148.86,203.63,20.12,1001.65,725.4,3,26.539,230.91,96.89
124.98,19.73,138.43,220.52,27.97,1143.76,870.02,56,5.712,155.13,91.83
155.24,209.21,125.41,206.51,2.92,1133.43,646.1,7,28.621,153.77,45.58
259.98,215.39,57.93,216.93,17.12,1071.28,895.65,90,46.028,264.62,91.4
347.5,213.25,74.71,227.95,2.15,927.82,553.05,7,44.511,315.24,65.0
535.14,82.7,115.68,180.6,11.66,917.51,934.3,28,70.083,481.63,103.78
484.47,215.78,39.51,171.23,4.74,916.68,781.74,56,74.034,435.28,86.67
473.14,31.43,159.2,132.93,3.8,1048.85,820.48,90,70.096,413.63,74.83
131.75,33.3,137.22,129.42,9.46,943.0,757.52,180,17.007,132.2,47.27
243.5,125.45,23.5,200.77,23.74,1071.85,674.67,28,27.457,254.21,98.3
356.54,151.42,126.87,175.61,26.19,864.97,802.78,1,36.161,358.1,123.92
520.88,37.59,81.32,123.92,24.6,1007.57,870.28,365,94.835,486.37,129.9
324.93,214.85,122.44,182.76,3.66,814.64,629.0,14,49.704,299.53,68.07
532.46,81.74,125.9,139.19,23.45,1007.54,821.67,56,80.235,498.35,133.28
374.24,166.16,49.07,235.63,0.67,853.37,860.66,28,48.827,331.8,60.18
468.88,30.02,157.89,223.1,17.45,886.78,869.94,56,63.114,431.73,108.31
326.47,138.68,60.65,154.85,18.68,1144.66,808.92,7,40.8,318.31,98.01
289.06,152.34,69.94,216.59,8.92,900.77,884.61,3,19.007,272.03,70.44
130.37,17.1,15.13,142.2,10.05,1142.16,631.83,3,3.0,128.39,42.56
171.86,104.41,185.71,155.36,5.38,892.64,763.84,14,27.184,165.71,48.81
319.11,86.12,125.61,186.26,5.07,1100.03,769.05,7,31.029,287.89,62.01
243.48,145.86,171.38,203.26,10.92,890.56,650.26,3,34.465,238.08,73.59
179.07,174.15,15.84,190.68,23.15,920.25,825.89,1,14.144,201.75,92.18
296.71,174.97,151.48,168.67,21.33,912.44,864.3,56,62.808,301.61,107.24
436.83,14.01,39.89,168.05,0.99,1098.88,755.56,90,53.077,374.66,57.46
517.3,162.94,60.27,217.61,24.63,948.35,832.99,180,89.633,491.73,137.47
195.94,138.21,144.78,146.68,2.11,1128.86,584.97,90,34.896,182.5,44.26
287.62,192.45,188.99,204.59,7.48,1098.14,713.58,1,31.453,273.7,74.24
308.23,144.56,70.3,145.39,12.56,1047.32,728.27,180,62.675,293.61,81.32
454.97,50.18,124.96,213.35,21.83,1066.61,786.77,1,37.723,427.66,117.68
127.47,21.88,135.35,167.64,11.25,904.6,754.23,7,4.551,130.59,50.36
273.52,74.66,87.23,158.44,19.08,835.36,657.56,3,25.728,269.99,89.23
252.92,151.7,195.66,207.21,3.06,1061.85,647.8,365,59.703,234.41,56.45
399.37,141.85,160.34,157.31,28.78,985.76,603.55,7,58.31,398.64,136.21
274.29,201.2,157.1,136.6,10.93,906.54,936.02,3,39.261,267.85,80.6
432.38,74.03,173.82,168.5,28.81,942.2,777.58,56,65.793,422.28,136.05
521.0,92.27,75.65,129.15,23.35,908.26,913.86,7,52.912,488.17,130.37
175.46,24.81,55.36,171.02,23.34,1146.29,794.1,90,17.593,189.33,83.36
135.02,161.98,37.2,159.95,12.3,934.6,898.59,90,22.776,146.53,59.78
153.79,144.18,111.94,232.13,13.54,984.08,830.59,1,13.605,164.71,66.87
301.47,177.12,37.55,126.63,21.56,814.74,898.81,14,44.756,303.9,103.98
291.7,17.7,47.63,157.76,0.97,1131.02,606.03,180,36.632,251.68,40.57
431.44,62.11,197.36,151.71,26.7,1082.71,719.68,56,75.643,417.74,130.77
346.57,170.54,82.34,163.9,5.41,824.33,794.11,56,61.804,316.82,70.35
445.53,97.0,119.83,206.19,13.13,983.05,869.18,7,48.55,408.89,97.86
472.53,5.98,131.59,146.56,25.66,889.34,897.32,365,73.102,445.76,126.54
332.53,5.11,75.08,184.21,0.29,1039.42,768.42,56,31.181,284.97,43.99
448.97,65.56,171.23,187.77,11.75,894.46,730.72,56,66.776,408.44,94.69
461.86,169.34,196.65,121.89,16.61,846.65,671.37,3,56.3,434.94,116.66
150.46,83.96,66.01,218.08,5.12,880.22,876.29,56,4.434,143.28,39.36
255.09,69.03,151.17,223.41,4.45,826.32,667.9,365,35.073,231.81,52.63
413.31,152.15,191.8,176.74,10.6,877.74,803.75,7,57.396,382.76,94.43
355.54,111.72,78.2,230.21,1.82,965.47,667.57,28,39.364,314.5,58.16
156.64,161.17,52.98,157.41,15.07,1114.67,798.86,1,8.902,169.6,69.88
476.25,102.62,56.97,139.05,22.36,836.94,937.73,14,58.834,448.91,122.51
225.12,139.49,175.89,235.63,22.28,977.57,626.18,365,52.592,240.28,99.51
310.81,146.12,190.64,149.42,29.76,1137.73,634.66,1,47.942,325.84,129.54
209.88,7.5,133.71,224.58,10.57,1067.67,600.27,28,10.915,198.51,57.49
419.64,191.83,19.28,229.21,0.64,820.68,730.78,7,46.107,371.53,66.15
205.18,95.07,138.63,223.24,17.47,945.85,720.91,3,20.833,211.79,80.51
267.45,37.6,148.67,199.99,7.55,970.16,854.27,56,43.887,245.01,59.54
520.21,70.11,163.95,219.11,13.12,1085.99,903.51,1,46.085,471.35,106.68
372.26,36.63,42.98,133.79,15.44,954.23,652.87,1,27.552,344.55,87.54
311.67,89.33,191.47,171.67,27.33,893.58,675.42,180,65.044,318.73,119.65
284.62,81.24,20.95,219.56,1.89,808.41,575.73,1,6.599,251.05,45.39
440.06,196.83,118.52,224.47,27.45,991.89,792.0,1,48.049,434.13,139.96
515.34,32.94,184.81,141.42,10.32,987.74,593.96,56,79.372,460.55,97.33
167.98,72.0,180.51,164.23,29.14,937.36,818.02,14,30.431,198.05,105.26
475.17,99.07,96.21,141.92,0.67,876.04,597.5,365,82.341,413.83,69.48
306.99,36.52,140.47,194.21,11.51,839.52,613.85,1,24.146,284.72,73.79
300.38,146.01,188.35,191.38,9.8,1074.47,717.0,56,52.116,284.98,78.29
289.25,1.48,30.71,210.47,13.51,892.08,646.08,7,10.643,268.2,69.82
479.29,58.19,78.1,203.54,27.75,1118.09,928.91,7,54.442,457.43,134.08
513.21,119.04,124.48,124.1,27.74,1095.24,796.01,1,51.301,491.43,144.24
352.44,120.22,107.61,156.21,24.0,1096.86,750.0,1,32.738,348.54,115.01
371.25,213.24,184.23,174.3,14.76,802.17,797.04,7,61.613,357.78,103.74
132.31,207.18,180.56,230.93,28.33,910.08,934.44,3,25.455,175.91,108.43
357.35,165.79,127.23,146.55,12.8,818.22,628.37,7,56.667,338.38,91.58
472.84,214.09,1.12,135.74,17.32,903.32,556.85,90,76.953,444.63,115.07
218.58,187.1,161.02,143.19,2.22,844.36,674.79,14,37.985,205.67,51.32
222.08,77.9,138.31,164.58,6.53,803.05,556.38,365,45.018,207.43,53.95
196.32,138.8,191.88,147.66,23.63,1064.76,901.08,90,45.965,218.24,100.03
411.97,196.68,46.3,231.35,18.23,877.11,553.24,28,55.779,394.04,110.64
263.13,140.67,146.1,194.71,17.43,926.7,709.41,365,62.394,264.32,90.85
220.51,32.73,38.64,214.26,25.83,994.51,640.06,365,21.488,231.82,94.86
459.44,121.1,80.73,230.67,18.44,858.04,904.0,28,64.429,430.12,112.94
176.39,134.23,138.38,211.3,24.35,1033.64,629.51,90,27.076,201.05,96.97
321.14,42.14,188.82,160.68,18.4,920.1,807.25,14,41.342,309.14,95.04
389.02,35.52,101.15,217.63,21.09,1140.0,932.93,14,42.267,368.91,105.93
528.67,153.76,14.0,211.15,1.53,897.15,876.02,28,63.766,462.85,78.58
487.13,40.23,171.82,139.22,17.33,952.3,831.68,14,69.948,448.05,111.47
199.81,69.21,188.4,149.18,14.84,1117.11,878.01,365,50.687,202.19,73.45
375.26,107.51,122.31,237.29,11.07,965.8,685.34,3,37.513,346.65,85.11
463.69,142.14,53.67,156.9,1.37,901.5,768.49,7,48.982,407.35,71.16
286.56,58.26,47.84,213.59,21.76,865.99,755.6,3,15.559,283.43,94.78
320.46,167.42,38.59,217.63,28.82,1076.76,906.52,14,43.5,331.0,123.77
133.26,139.96,72.56,140.27,13.59,975.2,801.36,14,22.641,146.25,62.65
374.35,13.93,63.18,144.16,26.61,902.12,707.45,56,46.531,363.01,114.94
431.1,108.85,150.2,140.56,8.51,938.82,831.81,1,40.183,390.68,86.64
428.7,69.5,84.01,217.38,23.29,1078.75,676.15,28,52.996,408.21,117.91
474.44,149.18,27.24,186.47,24.87,1130.55,734.55,28,66.453,454.06,130.65
353.55,90.08,173.25,128.63,23.06,1067.01,802.73,180,77.044,347.19,113.32
311.64,68.89,33.06,131.59,0.02,883.8,785.53,180,49.515,270.41,43.59
407.46,0.34,178.68,175.94,20.81,1066.36,876.43,14,50.258,383.25,108.1
453.87,63.94,12.07,239.21,23.88,887.07,701.24,365,65.949,428.72,119.13
308.35,9.72,101.87,200.44,12.33,863.63,716.99,7,19.426,284.54,72.58
210.97,142.95,112.23,222.72,27.94,814.11,559.92,56,37.0,236.28,109.67
342.78,172.67,57.0,145.33,7.16,1060.93,656.9,3,38.864,316.04,73.4
505.16,219.41,169.5,216.32,15.44,1017.45,774.87,28,83.933,472.84,121.36
461.1,171.32,103.93,136.36,7.38,962.91,594.31,180,92.919,417.81,89.93
424.16,136.17,155.8,142.2,19.27,810.95,732.52,365,95.0,404.02,114.85
408.07,176.4,70.67,203.51,22.06,963.63,820.52,28,66.125,395.91,119.29
400.45,127.84,64.44,124.82,13.9,1060.2,654.72,365,76.351,372.86,94.33
501.9,2.82,194.02,202.71,28.36,1136.15,691.49,1,41.357,476.06,139.07
351.47,122.21,125.65,197.22,12.94,821.41,677.08,1,28.151,330.53,88.11
443.91,64.84,42.34,226.72,29.19,943.34,603.18,90,60.33,429.41,132.47
359.43,92.29,197.71,225.0,29.66,866.7,576.13,180,61.352,363.38,131.64
432.65,33.81,178.32,164.52,22.53,893.79,609.79,3,46.548,409.73,117.74
496.08,161.8,60.41,195.0,9.21,1042.03,608.99,3,47.497,448.94,96.31
428.37,138.85,115.89,225.17,27.74,835.41,911.77,56,64.272,420.54,135.12
202.64,134.93,32.4,182.55,21.95,926.02,620.38,7,24.375,217.45,89.92
459.38,120.87,29.31,134.77,27.63,856.2,766.07,180,75.72,443.73,133.84
520.92,123.73,108.86,190.42,5.65,881.72,937.24,14,60.861,462.67,89.66
150.46,119.56,24.83,163.5,17.06,993.12,910.97,1,3.865,164.05,70.06
385.34,108.95,197.72,233.87,23.43,1149.03,738.13,28,55.357,376.61,120.36
502.56,203.46,45.58,120.15,14.55,1053.05,664.6,56,78.049,465.61,112.75
175.58,79.53,46.75,237.76,27.43,992.3,934.47,1,3.0,199.64,97.09
481.68,127.08,63.66,124.04,21.65,870.08,589.03,180,88.938,454.24,123.37
355.66,72.28,58.5,148.36,12.44,975.09,597.01,28,43.519,328.44,81.17
346.03,87.85,168.99,123.45,9.88,1002.96,765.63,14,53.916,319.47,79.14
328.07,103.9,189.33,233.16,23.67,935.85,810.33,56,52.053,327.78,113.38
442.42,84.02,171.46,204.09,12.86,1080.46,826.86,3,48.696,405.95,97.99
297.33,158.97,41.68,124.8,13.46,1088.93,635.15,28,41.934,286.23,82.12
332.48,59.18,186.96,204.88,19.03,1145.79,658.07,56,47.519,320.94,99.1
239.56,158.42,77.25,231.92,15.78,906.92,785.86,365,50.32,241.51,82.38
201.5,36.65,173.85,234.45,15.14,805.02,550.18,3,10.049,201.55,71.56
382.66,77.27,145.14,198.85,13.99,1110.4,728.29,7,49.595,355.95,92.1
186.7,81.26,128.76,188.7,10.58,1138.04,916.87,90,29.442,183.89,59.69
191.12,212.53,152.83,168.64,18.59,1053.82,809.61,1,25.619,210.13,90.4
505.43,155.24,39.09,144.36,7.04,800.08,731.33,180,89.423,452.53,90.68
435.39,5.88,88.89,231.63,12.53,1016.56,629.09,1,26.868,392.31,87.53
369.9,136.82,67.88,226.7,4.78,1091.65,621.43,365,63.25,332.99,68.62
329.14,138.89,62.91,233.84,7.07,862.96,704.44,28,36.326,302.05,69.4
167.95,192.77,160.15,223.21,5.41,855.67,657.41,1,25.299,168.1,53.57
524.91,121.62,24.61,237.11,4.75,1089.71,580.07,365,83.284,462.78,84.36
507.31,52.2,65.64,147.62,10.9,816.04,766.22,7,51.568,453.63,94.41
429.23,219.95,197.87,208.46,13.95,1025.19,921.23,28,75.958,406.53,109.7
477.17,137.75,117.32,237.41,0.43,1069.72,694.74,180,78.462,418.27,72.67
352.65,170.42,195.99,200.86,16.97,864.77,672.25,90,67.39,342.76,104.52
286.54,166.33,188.46,139.31,13.32,1011.32,897.29,90,61.989,280.28,86.86
459.34,129.15,143.95,143.98,17.64,1114.86,817.3,90,82.18,430.58,114.02
483.73,155.43,11.33,239.4,0.48,1003.02,833.43,1,33.939,423.05,70.59
136.68,47.54,130.94,239.66,2.03,1026.75,849.39,14,3.0,125.38,30.05
234.25,85.37,174.26,154.21,24.81,850.78,709.81,56,45.273,248.26,103.07
475.69,212.18,18.25,128.92,4.97,873.68,565.0,14,60.015,427.51,85.09
131.69,25.16,60.75,183.31,21.6,1072.76,935.93,28,3.0,149.47,73.98
440.08,183.95,18.87,188.35,11.98,935.87,630.26,7,45.598,406.48,96.38
139.3,131.91,117.42,121.55,9.75,962.92,558.55,56,36.5,145.59,55.02
225.63,41.46,129.21,236.22,5.99,1086.05,946.34,1,6.98,206.85,50.11
129.18,47.66,100.63,197.76,26.88,1014.75,819.66,14,8.019,158.15,90.05
415.33,181.35,146.85,230.86,9.42,811.34,585.93,7,53.309,383.73,91.95
520.54,27.34,180.94,205.59,21.46,803.53,778.85,14,62.807,482.32,125.25
213.81,207.2,21.1,177.68,8.33,804.98,763.34,365,46.699,209.99,61.83
185.84,197.69,130.12,203.76,8.25,917.46,675.23,28,40.162,187.61,61.97
276.81,152.41,129.72,186.91,23.81,1104.59,612.34,56,51.794,286.65,108.6
172.68,202.88,107.93,207.14,6.02,1122.84,805.94,7,27.844,172.77,54.29
360.79,74.72,5.33,162.84,9.65,906.95,885.29,3,29.792,327.45,72.87
454.7,91.27,140.49,219.06,2.06,1118.74,652.08,14,57.495,398.99,71.72
478.6,210.5,77.49,179.25,16.96,1089.33,716.19,3,52.382,450.23,117.66
440.69,64.5,148.72,216.3,14.64,1025.34,674.12,90,69.987,405.5,99.95
282.98,59.89,124.73,226.14,13.8,1129.62,682.17,1,15.587,269.3,77.63
302.17,134.2,178.08,139.82,10.4,923.11,808.22,90,62.164,286.44,78.78
286.01,122.12,143.65,208.87,7.85,855.71,863.38,90,55.092,267.09,68.24
446.93,104.72,181.4,228.7,17.36,979.92,785.29,90,63.954,418.63,111.62
275.5,199.56,178.87,126.72,26.51,830.23,889.23,1,34.111,294.14,120.45
293.41,58.15,79.31,168.79,28.42,919.83,657.02,28,41.286,300.52,113.5
423.47,123.41,195.01,207.62,18.77,1143.49,936.72,3,51.977,402.52,114.18
369.41,190.53,173.6,165.76,24.97,857.57,610.46,7,51.027,370.76,127.04
193.68,115.5,20.02,162.13,20.89,1123.7,560.13,28,25.981,206.53,84.35
457.24,55.92,1.75,216.08,0.42,930.69,745.63,3,27.553,393.28,59.91
487.04,16.37,52.92,136.85,19.97,1006.34,861.74,1,39.44,448.15,111.64
394.1,46.91,72.34,134.89,15.23,805.33,584.93,365,64.815,364.09,91.54
467.06,61.63,199.59,225.79,9.0,915.63,766.11,14,55.036,419.72,90.86
491.74,15.75,53.05,128.19,3.75,820.47,701.02,28,58.763,426.15,71.62
141.77,96.62,22.42,126.55,21.8,929.94,940.29,3,8.434,162.6,79.18
257.43,33.87,198.65,211.63,14.09,983.72,644.1,28,30.342,247.7,76.43
120.5,15.24,123.1,153.81,27.54,1078.45,930.79,90,14.036,150.02,89.31
487.13,16.38,174.61,226.33,17.2,1044.95,584.46,180,76.653,446.22,109.59
307.69,53.29,171.89,238.46,15.45,1078.66,949.19,56,45.047,293.43,86.16
337.63,180.13,120.37,147.31,27.27,942.05,587.33,7,54.762,345.64,126.12
538.2,53.97,177.04,128.05,24.45,1128.41,630.22,28,75.983,503.91,136.57
189.57,27.69,20.5,235.27,24.89,811.38,592.95,7,3.0,203.32,87.74
216.74,129.49,109.3,195.43,21.03,1038.9,733.01,56,27.918,229.12,92.01
508.05,74.87,94.26,163.85,12.09,840.44,610.92,56,64.039,458.31,100.2
523.08,114.78,46.61,217.09,25.01,987.14,789.13,180,85.741,493.6,135.19
455.23,189.96,155.99,232.85,21.67,938.74,901.72,180,90.523,438.04,128.35
436.74,219.59,124.64,207.98,2.97,1009.3,764.98,90,71.994,393.85,80.2
317.74,8.06,63.88,227.06,26.73,1116.77,824.63,56,27.246,314.68,108.07
125.78,92.58,176.04,171.4,4.75,952.94,803.16,7,15.699,124.51,40.49
323.82,21.06,148.68,165.78,2.53,1144.6,662.98,28,42.074,283.74,52.6
468.53,84.0,165.19,237.79,5.43,980.51,585.46,56,71.645,416.12,82.28
450.08,153.96,14.09,214.34,28.79,827.92,762.49,28,63.54,439.68,137.32
292.54,103.6,110.5,216.07,20.38,1067.81,716.58,1,21.708,290.73,97.73
270.98,186.28,54.3,209.47,13.55,1074.54,581.55,180,56.29,266.13,81.59
174.73,190.2,57.57,145.39,8.6,964.47,774.71,28,29.97,176.75,58.08
371.65,132.22,4.25,172.05,22.79,1120.37,930.49,56,52.362,361.71,111.0
340.47,200.52,152.41,133.68,16.73,824.2,882.94,90,71.382,333.26,102.82
309.15,174.39,134.29,194.66,3.31,832.67,799.79,365,70.064,282.97,62.95
449.03,127.41,126.06,207.93,28.38,878.17,550.41,28,67.5,438.52,138.79
149.79,164.0,12.72,213.96,26.44,1081.74,637.35,1,4.731,181.36,96.05
341.57,201.97,87.85,192.51,7.88,1143.96,827.9,14,52.141,318.83,78.33
160.79,168.77,38.8,171.74,1.27,969.43,557.59,1,11.665,151.3,35.85
471.95,60.82,23.83,142.99,0.94,1019.8,801.57,90,61.471,407.39,64.19
164.1,171.91,8.39,220.37,9.28,994.64,721.28,180,19.373,166.53,55.25
392.16,4.16,6.52,178.08,25.83,959.43,785.4,56,43.635,375.09,112.19
274.28,173.96,144.34,162.68,6.29,989.65,582.1,1,30.649,258.27,66.6
127.42,152.41,136.02,176.09,15.46,1034.44,874.51,180,27.0,146.43,70.04
283.86,91.69,41.72,193.34,12.27,1145.41,671.92,56,36.833,268.17,72.84
