run_id,tool_type,material_family,cooling,carbon_pct,cutting_speed_m_per_min,feed_mm_per_rev,depth_of_cut_mm,cutting_distance_m,wear_vb_um
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,2300.0,152.746
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,2400.0,156.925
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,2500.0,168.952
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,2600.0,170.3
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,2700.0,181.591
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,2800.0,191.173
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,2900.0,190.207
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,3000.0,205.422
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,3100.0,214.407
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,3200.0,219.095
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,3300.0,222.128
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,3400.0,235.314
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,3500.0,238.169
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,3600.0,262.661
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,3700.0,266.31
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,3800.0,270.85
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,3900.0,275.675
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,4000.0,279.636
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,4100.0,275.833
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,4200.0,305.468
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,4300.0,318.993
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,4400.0,310.897
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,4500.0,302.446
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,4600.0,342.626
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,4700.0,340.58
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,4800.0,383.297
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,4900.0,345.777
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,5000.0,389.269
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,5100.0,372.791
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,5200.0,393.526
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,5300.0,402.829
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,5400.0,426.529
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,5500.0,423.703
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,5600.0,450.163
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,5700.0,443.279
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,5800.0,452.337
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,5900.0,487.542
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,6000.0,493.566
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,0.0,10.014
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,100.0,3.418
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,200.0,7.012
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,300.0,12.669
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,400.0,14.768
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,500.0,22.496
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,600.0,21.088
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,700.0,21.514
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,800.0,20.409
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,900.0,19.984
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,1000.0,35.778
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,1100.0,51.254
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,1200.0,37.95
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,1300.0,40.473
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,1400.0,32.844
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,1500.0,34.73
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,1600.0,33.66
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,1700.0,59.203
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,1800.0,38.051
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,1900.0,53.124
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,2000.0,70.075
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,2100.0,58.636
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,2200.0,65.919
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,2300.0,47.969
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,2400.0,59.308
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,2500.0,67.812
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,2600.0,69.146
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,2700.0,63.615
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,2800.0,83.989
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,2900.0,71.354
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,3000.0,72.481
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,3100.0,81.562
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,3200.0,83.048
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,3300.0,90.803
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,3400.0,88.974
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,3500.0,98.957
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,3600.0,103.059
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,3700.0,88.043
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,3800.0,123.838
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,3900.0,111.427
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,4000.0,96.623
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,4100.0,110.706
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,4200.0,104.839
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,4300.0,115.994
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,4400.0,127.302
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,4500.0,117.111
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,4600.0,139.681
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,4700.0,153.779
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,4800.0,116.218
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,4900.0,134.122
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,5000.0,132.725
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,5100.0,134.753
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,5200.0,150.531
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,5300.0,153.09
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,5400.0,145.414
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,5500.0,162.864
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,5600.0,168.14
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,5700.0,166.832
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,5800.0,175.264
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,5900.0,154.753
W0002,coated_C,low_carbon_steel,flood,0.5222,196.159,0.1268,0.76,6000.0,193.562
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,0.0,10.573
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,100.0,14.36
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,200.0,21.798
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,300.0,23.733
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,400.0,26.523
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,500.0,26.886
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,600.0,34.275
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,700.0,31.553
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,800.0,40.072
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,900.0,36.676
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,1000.0,46.447
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,1100.0,40.5
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,1200.0,58.971
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,1300.0,50.666
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,1400.0,37.631
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,1500.0,52.56
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,1600.0,60.599
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,1700.0,54.952
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,1800.0,72.157
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,1900.0,72.645
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,2000.0,69.123
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,2100.0,92.092
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,2200.0,73.314
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,2300.0,86.29
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,2400.0,88.05
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,2500.0,83.252
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,2600.0,90.29
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,2700.0,91.746
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,2800.0,76.172
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,2900.0,112.553
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,3000.0,89.46
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,3100.0,103.961
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,3200.0,98.973
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,3300.0,122.297
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,3400.0,113.84
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,3500.0,111.171
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,3600.0,147.696
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,3700.0,146.094
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,3800.0,126.62
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,3900.0,159.614
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,4000.0,152.607
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,4100.0,137.016
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,4200.0,143.743
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,4300.0,164.506
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,4400.0,155.186
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,4500.0,176.201
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,4600.0,194.043
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,4700.0,144.547
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,4800.0,167.561
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,4900.0,186.898
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,5000.0,184.992
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,5100.0,190.004
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,5200.0,212.251
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,5300.0,208.7
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,5400.0,231.05
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,5500.0,214.189
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,5600.0,193.762
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,5700.0,218.642
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,5800.0,233.795
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,5900.0,230.133
W0003,coated_C,alloy_steel,flood,0.1944,245.925,0.1343,0.4776,6000.0,207.191
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,0.0,5.028
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,100.0,15.973
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,200.0,13.523
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,300.0,19.613
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,400.0,11.946
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,500.0,16.98
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,600.0,22.071
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,700.0,15.992
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,800.0,17.283
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,900.0,21.938
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,1000.0,37.929
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,1100.0,20.218
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,1200.0,36.757
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,1300.0,32.841
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,1400.0,17.266
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,1500.0,35.931
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,1600.0,39.626
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,1700.0,34.447
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,1800.0,56.79
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,1900.0,33.437
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,2000.0,60.278
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,2100.0,64.754
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,2200.0,57.758
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,2300.0,63.266
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,2400.0,72.532
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,2500.0,74.351
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,2600.0,64.181
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,2700.0,71.297
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,2800.0,78.922
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,2900.0,60.421
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,3000.0,82.395
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,3100.0,85.064
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,3200.0,69.355
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,3300.0,99.07
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,3400.0,83.922
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,3500.0,86.643
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,3600.0,109.336
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,3700.0,94.146
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,3800.0,135.319
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,3900.0,110.924
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,4000.0,126.427
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,4100.0,105.259
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,4200.0,126.228
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,4300.0,112.082
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,4400.0,144.233
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,4500.0,147.887
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,4600.0,138.318
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,4700.0,132.121
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,4800.0,148.627
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,4900.0,119.862
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,5000.0,156.308
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,5100.0,151.691
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,5200.0,155.275
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,5300.0,177.881
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,5400.0,175.604
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,5500.0,186.239
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,5600.0,157.845
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,5700.0,178.085
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,5800.0,209.706
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,5900.0,197.771
W0004,coated_C,cast_iron,mist,0.5014,180.933,0.1435,0.5736,6000.0,179.543
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,0.0,14.077
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,100.0,14.119
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,200.0,26.227
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,300.0,36.486
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,400.0,38.259
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,500.0,52.989
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,600.0,69.416
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,700.0,67.696
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,800.0,82.055
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,900.0,85.965
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,1000.0,88.759
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,1100.0,98.347
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,1200.0,101.81
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,1300.0,116.444
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,1400.0,117.945
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,1500.0,143.125
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,1600.0,141.842
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,1700.0,161.402
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,1800.0,162.227
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,1900.0,166.232
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,2000.0,179.422
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,2100.0,183.007
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,2200.0,193.073
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,2300.0,224.776
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,2400.0,211.905
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,2500.0,244.665
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,2600.0,243.299
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,2700.0,244.355
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,2800.0,248.974
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,2900.0,280.744
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,3000.0,270.319
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,3100.0,281.122
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,3200.0,312.041
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,3300.0,325.612
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,3400.0,335.429
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,3500.0,337.082
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,3600.0,374.472
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,3700.0,336.423
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,3800.0,359.19
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,3900.0,373.825
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,4000.0,390.436
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,4100.0,392.652
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,4200.0,436.204
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,4300.0,431.968
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,4400.0,433.886
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,4500.0,422.643
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,4600.0,476.613
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,4700.0,466.4
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,4800.0,480.22
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,4900.0,498.825
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,5000.0,505.796
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,5100.0,544.046
W0005,carbide_B,alloy_steel,flood,0.3138,179.539,0.2725,1.8545,5200.0,521.111
