 ,,Composition (at%),,,,,,,,,,,,,,Processing,,20 C=RT,,,,,,,,,,Phases,,,,,,,,,,,Properties,,,,,,,,,,,,,,,
Engineering multi-scale B2 precipitation in a heterogeneous FCC based microstructure to enhance the mechanical properties of a Al0.5Co1.5CrFeNi1.5 high entropy alloy,Al0.5Co1.5CrFeNi1.5 - CR750 Condition,18.18,27.27,27.27,0,18.18,9.1,0,0,0,0,0,0,0,0,1,1150,6,1,20,60,1,750,50,0,,,Face‐centered cubic (FCC) [Code = 1],65,B2 [Precipitate Code: B2 = 3],760,35,Ordered B2 precipitate,from about 80 nm up to ~1.2 µm,,,,,1020,,790,,,20% tensile strain,,,,,,,,,,
Enhancing strength and strain hardenability via deformation twinning in fcc-based high entropy alloys reinforced with intermetallic compounds,"Al0.3CoCrFeNi - Coarse-Grained, Single-Phase fcc",23.4,23.4,23.1,0,23.4,6.7,0,0,0,0,0,0,0,0,Yes,1150,1 hr,Yes,20,90%,Yes,1150,30 min,0,,,face‐centered cubic (classified as 1),100,,,,,,,,,,410 ± 42,,159 ± 22,,,65 ± 3,,,,,,,,,,
Enhancing strength and strain hardenability via deformation twinning in fcc-based high entropy alloys reinforced with intermetallic compounds,"Al0.3CoCrFeNi - Refined, Triplex Microstructure with fcc + intermetallics",23.4,23.4,23.1,0,23.4,6.7,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,1,80,3,,10,6,,10,,,,1039,,840,,,30-32%,,,,,,,,,,
Enhancing strength-ductility synergy in a casting non-equiatomic NiCoCr-based high-entropy alloy by Al and Ti combination addition,AT0,0,43.8,37.5,0,18.8,0,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,Face‐Centered Cubic (FCC) (Code: 1),100,,,,,,,,,,447,,147,,,,,,,,,,,,,
Enhancing strength-ductility synergy in a casting non-equiatomic NiCoCr-based high-entropy alloy by Al and Ti combination addition,AT5,0,39.4,33.8,0,16.9,5,5,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,Face‐Centered Cubic (FCC) [Classification Code: 1],34,Ordered L1₂ phase [Classification Code: 1],~93 nm (average; ±31 nm dispersion),66,,,,,,,1004,,792,,,38.2,,Range from approximately 93 K (cryogenic) to 873 K (high temperature),,,,,,,,
Grain refinement of non-equiatomic Cr-rich CoCrFeMnNi high-entropy alloys through combination of cold rolling and precipitation of σ phase,10Cr,20,30,20,20,10,0,0,0,0,0,0,0,0,0,0,,,1,20 °C,90,1,1273 K,1 h,0,,,Face‐centered cubic (fcc) [Classification Code = 1],100%,,,,,,,,,,,,,,,,,Range from approximately 93 K (cryogenic) to 873 K (high temperature),,,,,,,,
Grain refinement of non-equiatomic Cr-rich CoCrFeMnNi high-entropy alloys through combination of cold rolling and precipitation of σ phase,20Cr,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,,,1,20 °C,90,1,1273 K,1 h,0,,,Face‑Centered Cubic (fcc) (classification = 1),100%,,,,,,,,,,,,,,,,,Range from approximately 93 K (cryogenic) to 873 K (high temperature),Not provided; yield strength increases as temperature decreases,Not provided; large elongation observed even at 93 K,,,,,,
Grain refinement of non-equiatomic Cr-rich CoCrFeMnNi high-entropy alloys through combination of cold rolling and precipitation of σ phase,25Cr,20,15,20,20,25,0,0,0,0,0,0,0,0,0,0,,,1,20 °C,90,1,1273 K,1 h,0,,,Fully recrystallized face‑centered cubic (fcc) with annealing twins (classification = 1),78%,Tetragonal σ phase,,22%,,,,,,,>730 MPa,,,,,,,Range from approximately 93 K (cryogenic) to 873 K (high temperature),,,,,,,,
Grain refinement of non-equiatomic Cr-rich CoCrFeMnNi high-entropy alloys through combination of cold rolling and precipitation of σ phase,25Cr (TTT),20,15,20,20,25,0,0,0,0,0,0,0,0,0,1,1100 °C,1 hr,1,20 °C,90,0,,,1,700–1100 °C,~0.003–1 hr,,,,,,,,,,,,>900 MPa,,above about 400 MPa,,,56,,93 K and 873 K,,Large ductility observed at 93 K; exact elongation value not provided,,,,,,
High temperature strengthening via nanoscale precipitation in wrought CoCrNi-based medium-entropy alloys,AT00,0,33.3,33.3,0,33.3,0,0,0,0,0,0,0,0,0,Solution treatment performed immediately after casting (as‑cast),1100,2 hr,0,,,Annealing after forging,1100,2 hr (120 min),1,850,10 hr,1 [face‑centered cubic (fcc)],~100%,,,,,,,,,,721,,244,,153,,,700,"Yield: ~141 MPa, Ultimate: ~387 MPa",,,,,,,
High temperature strengthening via nanoscale precipitation in wrought CoCrNi-based medium-entropy alloys,AT22,0,32,32,0,32,2,2,0,0,0,0,0,0,0,Solution treatment performed immediately after casting (as‑cast),1100,2 hr,0,,,Annealing after forging,1100,2 hr (120 min),1,850,10 hr,Face‑centered cubic (fcc) → Code 1,,γ′ phase having L12 crystal structure → Code 1 (forms as discontinuous (DP) colonies along grain boundaries),,,,,,,,,909,,476,,,61.1,,700,"Yield: ~141 MPa, Ultimate: ~387 MPa",,,,,,,
High temperature strengthening via nanoscale precipitation in wrought CoCrNi-based medium-entropy alloys,ATT221,0,31.7,31.7,0,31.7,2,2,0,0,0,0,0,0,1,Solution treatment performed immediately after casting (as‑cast),1100,2 hr,0,,,Annealing after forging,1100,2 hr (120 min),1,850,10 hr,1 (face‑centered cubic),82.80%,"1 (L12 structure, i.e. γ′ phase)",Approximately 28.8 nm (spherical/quasi‑cuboid morphology),17.2,4 (η phase with hexagonal structure),,,,,,1173,,773,,315,39.4,,700,"Yield: ~620 MPa, Ultimate: ~939 MPa",28.3,,,,,,
High-content ductile coherent nanoprecipitates achieve ultrastrong high-entropy alloys,Al0.5Cr0.9FeNi2.5V0.2 Alloy (ST),19.6,49,0,0,17.6,9.8,0,0,0,4,0,0,0,0,Yes,1200,24,0,,,0,,,0,,,1,100,,,,,,,,,,560,,274,,,,,,,,,,,,,
High-content ductile coherent nanoprecipitates achieve ultrastrong high-entropy alloys,Al0.5Cr0.9FeNi2.5V0.2 Alloy (600A),19.6,49,0,0,17.6,9.8,0,0,0,4,0,0,0,0,Yes,1200,24,Yes,20,72,0,,,1,600 °C,1,1,43.7,1,35,50.1,7,50,6.2,,,,1905,,1810,,,9-10%,,,,,,,,,,
High-content ductile coherent nanoprecipitates achieve ultrastrong high-entropy alloys,Al0.5Cr0.9FeNi2.5V0.2 Alloy (700A),19.6,49,0,0,17.6,9.8,0,0,0,4,0,0,0,0,Yes,1200,24,Yes,20,72,0,,,1,700 °C,1,1,50,1,35,44,7,50nm,6,,,,1763,,1570,,,9-10%,,,,,,,,,,
Improving mechanical properties of an FCC high-entropy alloy by γ′ and B2 precipitates strengthening,Annealed HEA (C),27.23,26.83,26.64,0,9.25,8.13,1.03,0,0,0,0.89,0,0,0,Yes,1190,6,Yes,20,80,Yes,1100,60,0,,,1,100,,,,,,,,,,701.8,,280.7,,,47.1,,,,,,,,,,
Improving mechanical properties of an FCC high-entropy alloy by γ′ and B2 precipitates strengthening,One-step aged HEA (S1),27.23,26.83,26.64,0,9.25,8.13,1.03,0,0,0,0.89,0,0,0,Yes,1190,6,Yes,20,80,Yes,1100,60,1,845,4,1,90.98,3,241,2.85,γ′(1),19.5,6.17,,,,863.5,,491.5,,,32.6,,,,,,,,,,
Improving mechanical properties of an FCC high-entropy alloy by γ′ and B2 precipitates strengthening,Two-step aged HEA (S2),27.23,26.83,26.64,0,9.25,8.13,1.03,0,0,0,0.89,0,0,0,Yes,1190,6,Yes,20,80,Yes,1100,60,1,"845, then 720","4, then 10",1,57.88,3,287,4.56,γ′(1),21.5,5.72,Smallest γ′ phase (L12),9.5,31.84,1285.9,,863.5,,,28.2,,600°C 630°C 650°C 700°C,"yield strength:
619.6
605.3
584.3
557.2
Ultimate Compressive Strength:
939.9
880.5
823.4
714.3","35.9
38.3
38.8
40.3",,,,,,
Influence of fine-scale B2 precipitation on dynamic compression and wear properties in hypo-eutectic Al0.5CoCrFeNi high-entropy alloy,Al0.5CoCrFeNi_HRA,22.2,22.2,22.2,0,22.2,11.2,0,0,0,0,0,0,0,0,Yes,1150,≈5 minutes (≈0.083 hr),Yes,700,50,Yes,1150,5 minutes,0,,,Face‑Centered Cubic (FCC),80.6,3,,9.1,B2,1-10μm,8.2,B2,"Approximately 200 nm (average needle‑shaped, fine‑scale)",2.1,1344,1157,1284,668,250.6,8,18,,,,,,,,,
Influence of fine-scale B2 precipitation on dynamic compression and wear properties in hypo-eutectic Al0.5CoCrFeNi high-entropy alloy,Al0.5CoCrFeNi_HRA-700_1hr,22.2,22.2,22.2,0,22.2,11.2,0,0,0,0,0,0,0,0,Yes,1150,≈5 minutes (≈0.083 hr),Yes,700,50,Yes,1150,5 minutes,1,700,1 hour,1,,3,,,3,1-10μm,,3,~200 nm,,,1168,,682,258.2,,,,,,,,,,,
Influence of fine-scale B2 precipitation on dynamic compression and wear properties in hypo-eutectic Al0.5CoCrFeNi high-entropy alloy,Al0.5CoCrFeNi_HRA-700_4hr,22.2,22.2,22.2,0,22.2,11.2,0,0,0,0,0,0,0,0,Yes,1150,≈5 minutes (≈0.083 hr),Yes,700,50,Yes,1150,5 minutes,1,700,4 hours,1,,3,,9,3,1-10μm,Between 8.2 and 12.5% (exact value not given for 4 h but intermediate),3,200,Between 2.1 and 10.3% (exact value not given for 4 h but intermediate),,1312,,867,254.5,,,,,,,,,,,
Influence of fine-scale B2 precipitation on dynamic compression and wear properties in hypo-eutectic Al0.5CoCrFeNi high-entropy alloy,Al0.5CoCrFeNi_HRA-700_20hr,22.2,22.2,22.2,0,22.2,11.2,0,0,0,0,0,0,0,0,Yes,1150,≈5 minutes (≈0.083 hr),Yes,700,50,Yes,1150,5 minutes,1,700,20 hours,1,,3,,Between ~9% (HRA) and ~10% (80 h); exact 20 h fraction not explicitly reported; (In HRA specifically: 9.1±2.7%),3,,Between ~8% (HRA) and ~12-13% (80 h); exact 20 h fraction not explicitly reported; (In HRA specifically: 8.2 ± 3.1%),3,~200 nm (fine-scale needles),Between ~2% (HRA) and ~10% (80 h); exact 20 h fraction not explicitly reported; (In HRA specifically: 2.1±1.1%),,1404,,997,296.4,,,,,,,,,,,
Influence of fine-scale B2 precipitation on dynamic compression and wear properties in hypo-eutectic Al0.5CoCrFeNi high-entropy alloy,Al0.5CoCrFeNi_HRA-700_40hr,22.2,22.2,22.2,0,22.2,11.2,0,0,0,0,0,0,0,0,Yes,1150,≈5 minutes (≈0.083 hr),Yes,700,50,Yes,1150,5 minutes,1,700,40 hours,FCC,,3,,Between 9.1% (HRA) and 9.8% (80 h); exact value not reported,3,1-10μm,Between 8.2 and 12.5% (exact value not reported for 40 h but intermediate),3,200,Between 2.1 and 10.3% (exact value not reported for 40 h but intermediate),,1452,,1196,283.5,,,,,,,,,,,
Influence of fine-scale B2 precipitation on dynamic compression and wear properties in hypo-eutectic Al0.5CoCrFeNi high-entropy alloy,Al0.5CoCrFeNi_HRA-700_80hr,22.2,22.2,22.2,0,22.2,11.2,0,0,0,0,0,0,0,0,Yes,1150,≈5 minutes (≈0.083 hr),Yes,700,50,Yes,1150,5 minutes,1,700,80 hours,Face‑Centered Cubic (FCC),67.4,3,,9.8,B2,1–10 μm range,12.5,B2,200,10.3,,1503,,1352,302.2,,,,,,,,,,,
L21-strengthened face-centered cubic high-entropy alloy with high strength and ductility,Ti6Al5 HEA,20.36,24.75,20.96,0,22.82,5.04,6.07,0,0,0,0,0,0,0,1 (Yes),1423 K ≈ 1150 °C,2 h,1 (Yes),Room temperature (set as 20 °C) [Cold rolling],80% thickness reduction,1 (Yes),1423 K ≈ 1150 °C,1.5 min,1,1053 K ≈ 780 °C,4 h,1 (face‐centered cubic),50.8,1 (L12),10.3,18.8,5 (L21),130.7,30.4,,,,1597,,1136,,,25.3,,,,,,,,,,
Multicomponent intermetallic nanoparticles and superb mechanical behaviors of complex alloys,Al7Ti7,28.67,28.67,28.67,0,0,7,7,0,0,0,0,0,0,0,Yes,1150,Approximately 2 hours,Cold rolling,20,~65%,Yes,1150,Approximately 1.5 minutes,1,780,4 hours,Face‐centered cubic (FCC) [Classification value: 1],~45–50%,"Ordered intermetallic phase (Lh MCINP, analogous to L1₂; classified here as 1)",,,,,,,,,,,1028,,,,,,,,,,,,,
Multicomponent intermetallic nanoparticles and superb mechanical behaviors of complex alloys,Al8Ti6,28.67,28.67,28.67,0,0,8,6,0,0,0,0,0,0,0,Yes,1150,Approximately 2 hours,Cold rolling,20,~65%,Yes,1150,Approximately 1.5 minutes,1,780,4 hours,Face‐centered cubic (classification = 1),~45–50%,1,,,,,,,,,,,,,,10,,,,,,,,,,
On the correlation between L12 nanoparticles and mechanical properties of (NiCo)52+2x(AlTi)4+2xFe29-4xCr15 (x=0-4) high-entropy alloys,Al2Ti2,29,26,26,0,15,2,2,0,0,0,0,0,0,0,1,1150,2 hours,1,20,70,1,1150,5 minutes,1,800,4 hours,Face‐centered cubic (FCC),99.6,L12,,0.4,,,,,,,,,345,,188,,,,,,,,,,,
On the correlation between L12 nanoparticles and mechanical properties of (NiCo)52+2x(AlTi)4+2xFe29-4xCr15 (x=0-4) high-entropy alloys,Al3Ti3,25,27,27,0,15,3,3,0,0,0,0,0,0,0,1,1150,2 hours,1,20,70,1,1150,5 minutes,1,800,4 hours,Face‐centered cubic (code 1),93.4,L12 (code 1),,6.6,,,,,,,,,345,,216 ± 2 HV,,,,,,,,,,,
On the correlation between L12 nanoparticles and mechanical properties of (NiCo)52+2x(AlTi)4+2xFe29-4xCr15 (x=0-4) high-entropy alloys,Al4Ti4,21,28,28,0,15,4,4,0,0,0,0,0,0,0,1,1150,2 hours,1,20,70,1,1150,5 minutes,1,800,4 hours,"1 (Face‐Centered Cubic, FCC)",86.8,1 (L12),15.7,13.2,,,,,,,1010,,635,,333 ± 5 HV,31,,,,,,,,,,
On the correlation between L12 nanoparticles and mechanical properties of (NiCo)52+2x(AlTi)4+2xFe29-4xCr15 (x=0-4) high-entropy alloys,Al5Ti5,17,29,29,0,15,5,5,0,0,0,0,0,0,0,1,1150,2 hours,1,20,70,1,1150,5 minutes,1,800,4 hours,Face-centered cubic (FCC),84.4,L12,25.7,15.6,,,,,,,1074,,753,,354 ± 2 HV,23,,,,,,,,,,
On the correlation between L12 nanoparticles and mechanical properties of (NiCo)52+2x(AlTi)4+2xFe29-4xCr15 (x=0-4) high-entropy alloys,Al5.5Ti5.5,15,29.5,29.5,0,15,5.5,5.5,0,0,0,0,0,0,0,1,1150,2 hours,1,20,70,1,1150,5 minutes,1,800,4 hours,Face‐Centered Cubic (FCC) [Classification Code: 1],83.4,L12 [Classification Code: 1],≈19.5 nm (±0.6 nm),16.6,,,,,,,>1100 MPa,,≥850 MPa,,384 ± 3 HV,~13%,,,,,,,,,,
On the correlation between L12 nanoparticles and mechanical properties of (NiCo)52+2x(AlTi)4+2xFe29-4xCr15 (x=0-4) high-entropy alloys,Al6Ti6,13,30,30,0,15,6,6,0,0,0,0,0,0,0,1,1150,2 hours,1,20,70,1,1150,5 minutes,1,800,4 hours,Face-Centered Cubic (FCC),81.5,L12,23.7,18.5,,,,,,,More than 1100 MPa,,At least ~850 MPa,,392 ± 5 HV,Approximately 13% elongation,,,,,,,,,,
Superior high-temperature properties and defomation-induced planar faults in a novel L12-strengthened high-entropy alloy,Al4 HEA,16,32,32,0,16,4,0,0,0,0,0,0.02 wt.%,0,0,Yes,1200,2 hr,Yes,20 °C (cold rolling at room temperature),66,Yes,1200,1.5 min,1,800,24 hr (optimal),"1 (Face‑centered cubic, FCC)",100,,,,,,,,,,,,,,,,,,,,,,,,,
