cell_id,cell_type,ambient_temp_c,charge_rate_c,discharge_rate_c,depth_of_discharge,cycle_index,capacity_ah,capacity_percent
B001,LFP_graphite,45.1,2.105,2.413,0.901,620,-0.2262,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,630,-0.2506,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,640,-0.3078,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,650,-0.3679,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,660,-0.4007,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,670,-0.4426,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,680,-0.5045,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,690,-0.5424,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,700,-0.5811,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,710,-0.6347,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,720,-0.6631,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,730,-0.728,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,740,-0.7682,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,750,-0.8079,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,760,-0.8488,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,770,-0.9009,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,780,-0.9494,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,790,-0.9981,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,800,-1.0279,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,810,-1.0839,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,820,-1.1265,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,830,-1.1852,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,840,-1.2344,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,850,-1.2677,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,860,-1.3258,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,870,-1.3478,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,880,-1.3997,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,890,-1.4601,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,900,-1.4862,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,910,-1.5587,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,920,-1.5956,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,930,-1.6323,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,940,-1.6915,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,950,-1.7366,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,960,-1.7836,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,970,-1.8269,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,980,-1.8841,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,990,-1.9072,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,1000,-1.9616,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,0,1.9685,100.23
B002,LFP_graphite,15.47,0.951,1.733,0.711,10,1.9706,100.335
B002,LFP_graphite,15.47,0.951,1.733,0.711,20,1.9762,100.62
B002,LFP_graphite,15.47,0.951,1.733,0.711,30,1.9521,99.396
B002,LFP_graphite,15.47,0.951,1.733,0.711,40,1.9327,98.408
B002,LFP_graphite,15.47,0.951,1.733,0.711,50,1.9267,98.1
B002,LFP_graphite,15.47,0.951,1.733,0.711,60,1.9096,97.23
B002,LFP_graphite,15.47,0.951,1.733,0.711,70,1.9086,97.177
B002,LFP_graphite,15.47,0.951,1.733,0.711,80,1.8987,96.677
B002,LFP_graphite,15.47,0.951,1.733,0.711,90,1.8852,95.987
B002,LFP_graphite,15.47,0.951,1.733,0.711,100,1.877,95.569
B002,LFP_graphite,15.47,0.951,1.733,0.711,110,1.8694,95.185
B002,LFP_graphite,15.47,0.951,1.733,0.711,120,1.8504,94.214
B002,LFP_graphite,15.47,0.951,1.733,0.711,130,1.8345,93.406
B002,LFP_graphite,15.47,0.951,1.733,0.711,140,1.7995,91.623
B002,LFP_graphite,15.47,0.951,1.733,0.711,150,1.8004,91.669
B002,LFP_graphite,15.47,0.951,1.733,0.711,160,1.7765,90.455
B002,LFP_graphite,15.47,0.951,1.733,0.711,170,1.7595,89.589
B002,LFP_graphite,15.47,0.951,1.733,0.711,180,1.7337,88.272
B002,LFP_graphite,15.47,0.951,1.733,0.711,190,1.7393,88.559
B002,LFP_graphite,15.47,0.951,1.733,0.711,200,1.708,86.965
B002,LFP_graphite,15.47,0.951,1.733,0.711,210,1.6874,85.916
B002,LFP_graphite,15.47,0.951,1.733,0.711,220,1.6808,85.58
B002,LFP_graphite,15.47,0.951,1.733,0.711,230,1.6354,83.271
B002,LFP_graphite,15.47,0.951,1.733,0.711,240,1.6424,83.624
B002,LFP_graphite,15.47,0.951,1.733,0.711,250,1.6059,81.764
B002,LFP_graphite,15.47,0.951,1.733,0.711,260,1.583,80.602
B002,LFP_graphite,15.47,0.951,1.733,0.711,270,1.577,80.296
B002,LFP_graphite,15.47,0.951,1.733,0.711,280,1.5524,79.044
B002,LFP_graphite,15.47,0.951,1.733,0.711,290,1.5421,78.517
B002,LFP_graphite,15.47,0.951,1.733,0.711,300,1.5034,76.549
B002,LFP_graphite,15.47,0.951,1.733,0.711,310,1.4706,74.878
B002,LFP_graphite,15.47,0.951,1.733,0.711,320,1.4542,74.044
B002,LFP_graphite,15.47,0.951,1.733,0.711,330,1.4198,72.289
B002,LFP_graphite,15.47,0.951,1.733,0.711,340,1.4072,71.651
B002,LFP_graphite,15.47,0.951,1.733,0.711,350,1.3932,70.937
B002,LFP_graphite,15.47,0.951,1.733,0.711,360,1.3631,69.403
B002,LFP_graphite,15.47,0.951,1.733,0.711,370,1.3153,66.969
B002,LFP_graphite,15.47,0.951,1.733,0.711,380,1.3152,66.966
B002,LFP_graphite,15.47,0.951,1.733,0.711,390,1.2765,64.996
B002,LFP_graphite,15.47,0.951,1.733,0.711,400,1.2639,64.353
B002,LFP_graphite,15.47,0.951,1.733,0.711,410,1.2287,62.562
B002,LFP_graphite,15.47,0.951,1.733,0.711,420,1.2133,61.776
B002,LFP_graphite,15.47,0.951,1.733,0.711,430,1.1821,60.187
B002,LFP_graphite,15.47,0.951,1.733,0.711,440,1.1507,58.588
B002,LFP_graphite,15.47,0.951,1.733,0.711,450,1.121,57.078
B002,LFP_graphite,15.47,0.951,1.733,0.711,460,1.0911,55.554
B002,LFP_graphite,15.47,0.951,1.733,0.711,470,1.0751,54.741
B002,LFP_graphite,15.47,0.951,1.733,0.711,480,1.0409,52.998
B002,LFP_graphite,15.47,0.951,1.733,0.711,490,1.0057,51.206
B002,LFP_graphite,15.47,0.951,1.733,0.711,500,0.988,50.306
B002,LFP_graphite,15.47,0.951,1.733,0.711,510,0.9492,48.332
B002,LFP_graphite,15.47,0.951,1.733,0.711,520,0.9158,46.63
B002,LFP_graphite,15.47,0.951,1.733,0.711,530,0.9011,45.881
B002,LFP_graphite,15.47,0.951,1.733,0.711,540,0.856,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,550,0.8293,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,560,0.8034,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,570,0.7624,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,580,0.7341,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,590,0.6979,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,600,0.6794,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,610,0.6442,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,620,0.6156,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,630,0.5903,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,640,0.5508,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,650,0.5326,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,660,0.4695,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,670,0.4331,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,680,0.4125,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,690,0.3752,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,700,0.3399,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,710,0.2855,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,720,0.2677,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,730,0.2361,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,740,0.1933,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,750,0.1791,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,760,0.1323,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,770,0.0947,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,780,0.0635,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,790,0.0157,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,800,-0.0071,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,810,-0.0655,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,820,-0.0911,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,830,-0.1321,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,840,-0.1731,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,850,-0.2056,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,860,-0.2326,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,870,-0.2674,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,880,-0.3216,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,890,-0.3534,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,900,-0.3815,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,910,-0.4349,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,920,-0.4554,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,930,-0.5039,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,940,-0.5469,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,950,-0.5856,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,960,-0.6439,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,970,-0.6657,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,980,-0.7155,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,990,-0.7467,45.0
B002,LFP_graphite,15.47,0.951,1.733,0.711,1000,-0.7933,45.0
B003,NMC_graphite,16.39,0.972,2.672,0.53,0,2.0229,99.941
B003,NMC_graphite,16.39,0.972,2.672,0.53,10,2.0255,100.069
B003,NMC_graphite,16.39,0.972,2.672,0.53,20,2.0178,99.688
B003,NMC_graphite,16.39,0.972,2.672,0.53,30,2.0159,99.595
B003,NMC_graphite,16.39,0.972,2.672,0.53,40,2.0068,99.144
B003,NMC_graphite,16.39,0.972,2.672,0.53,50,1.9907,98.349
B003,NMC_graphite,16.39,0.972,2.672,0.53,60,1.9971,98.667
B003,NMC_graphite,16.39,0.972,2.672,0.53,70,2.005,99.057
B003,NMC_graphite,16.39,0.972,2.672,0.53,80,2.0174,99.671
B003,NMC_graphite,16.39,0.972,2.672,0.53,90,2.0075,99.181
B003,NMC_graphite,16.39,0.972,2.672,0.53,100,1.9912,98.373
B003,NMC_graphite,16.39,0.972,2.672,0.53,110,1.9866,98.147
B003,NMC_graphite,16.39,0.972,2.672,0.53,120,1.9915,98.392
B003,NMC_graphite,16.39,0.972,2.672,0.53,130,1.9724,97.446
B003,NMC_graphite,16.39,0.972,2.672,0.53,140,1.9832,97.982
B003,NMC_graphite,16.39,0.972,2.672,0.53,150,1.983,97.97
B003,NMC_graphite,16.39,0.972,2.672,0.53,160,1.9723,97.441
B003,NMC_graphite,16.39,0.972,2.672,0.53,170,1.9764,97.643
B003,NMC_graphite,16.39,0.972,2.672,0.53,180,1.9717,97.411
B003,NMC_graphite,16.39,0.972,2.672,0.53,190,1.9577,96.719
B003,NMC_graphite,16.39,0.972,2.672,0.53,200,1.9564,96.656
B003,NMC_graphite,16.39,0.972,2.672,0.53,210,1.9619,96.926
B003,NMC_graphite,16.39,0.972,2.672,0.53,220,1.9489,96.284
B003,NMC_graphite,16.39,0.972,2.672,0.53,230,1.943,95.993
B003,NMC_graphite,16.39,0.972,2.672,0.53,240,1.9363,95.664
B003,NMC_graphite,16.39,0.972,2.672,0.53,250,1.9395,95.823
B003,NMC_graphite,16.39,0.972,2.672,0.53,260,1.9392,95.808
B003,NMC_graphite,16.39,0.972,2.672,0.53,270,1.9325,95.473
B003,NMC_graphite,16.39,0.972,2.672,0.53,280,1.9386,95.777
B003,NMC_graphite,16.39,0.972,2.672,0.53,290,1.9235,95.031
B003,NMC_graphite,16.39,0.972,2.672,0.53,300,1.9168,94.701
B003,NMC_graphite,16.39,0.972,2.672,0.53,310,1.927,95.203
B003,NMC_graphite,16.39,0.972,2.672,0.53,320,1.9175,94.733
B003,NMC_graphite,16.39,0.972,2.672,0.53,330,1.9087,94.297
B003,NMC_graphite,16.39,0.972,2.672,0.53,340,1.904,94.07
B003,NMC_graphite,16.39,0.972,2.672,0.53,350,1.9107,94.398
B003,NMC_graphite,16.39,0.972,2.672,0.53,360,1.8972,93.733
B003,NMC_graphite,16.39,0.972,2.672,0.53,370,1.8826,93.012
B003,NMC_graphite,16.39,0.972,2.672,0.53,380,1.8959,93.669
B003,NMC_graphite,16.39,0.972,2.672,0.53,390,1.8845,93.104
B003,NMC_graphite,16.39,0.972,2.672,0.53,400,1.8833,93.047
B003,NMC_graphite,16.39,0.972,2.672,0.53,410,1.87,92.387
B003,NMC_graphite,16.39,0.972,2.672,0.53,420,1.8698,92.378
B003,NMC_graphite,16.39,0.972,2.672,0.53,430,1.8706,92.416
B003,NMC_graphite,16.39,0.972,2.672,0.53,440,1.8551,91.652
B003,NMC_graphite,16.39,0.972,2.672,0.53,450,1.8571,91.752
B003,NMC_graphite,16.39,0.972,2.672,0.53,460,1.8557,91.683
B003,NMC_graphite,16.39,0.972,2.672,0.53,470,1.8572,91.754
B003,NMC_graphite,16.39,0.972,2.672,0.53,480,1.8398,90.897
B003,NMC_graphite,16.39,0.972,2.672,0.53,490,1.8428,91.042
B003,NMC_graphite,16.39,0.972,2.672,0.53,500,1.842,91.004
B003,NMC_graphite,16.39,0.972,2.672,0.53,510,1.8451,91.157
B003,NMC_graphite,16.39,0.972,2.672,0.53,520,1.8216,89.995
B003,NMC_graphite,16.39,0.972,2.672,0.53,530,1.8245,90.139
B003,NMC_graphite,16.39,0.972,2.672,0.53,540,1.8304,90.43
B003,NMC_graphite,16.39,0.972,2.672,0.53,550,1.818,89.818
B003,NMC_graphite,16.39,0.972,2.672,0.53,560,1.8011,88.984
B003,NMC_graphite,16.39,0.972,2.672,0.53,570,1.7978,88.823
B003,NMC_graphite,16.39,0.972,2.672,0.53,580,1.7966,88.76
B003,NMC_graphite,16.39,0.972,2.672,0.53,590,1.7993,88.896
B003,NMC_graphite,16.39,0.972,2.672,0.53,600,1.7849,88.185
B003,NMC_graphite,16.39,0.972,2.672,0.53,610,1.7883,88.351
B003,NMC_graphite,16.39,0.972,2.672,0.53,620,1.7802,87.949
B003,NMC_graphite,16.39,0.972,2.672,0.53,630,1.7805,87.967
B003,NMC_graphite,16.39,0.972,2.672,0.53,640,1.7642,87.159
B003,NMC_graphite,16.39,0.972,2.672,0.53,650,1.7828,88.078
B003,NMC_graphite,16.39,0.972,2.672,0.53,660,1.7564,86.777
B003,NMC_graphite,16.39,0.972,2.672,0.53,670,1.7484,86.379
B003,NMC_graphite,16.39,0.972,2.672,0.53,680,1.7472,86.322
B003,NMC_graphite,16.39,0.972,2.672,0.53,690,1.7441,86.169
B003,NMC_graphite,16.39,0.972,2.672,0.53,700,1.7472,86.322
B003,NMC_graphite,16.39,0.972,2.672,0.53,710,1.7573,86.821
B003,NMC_graphite,16.39,0.972,2.672,0.53,720,1.7325,85.595
B003,NMC_graphite,16.39,0.972,2.672,0.53,730,1.7181,84.885
B003,NMC_graphite,16.39,0.972,2.672,0.53,740,1.7122,84.592
B003,NMC_graphite,16.39,0.972,2.672,0.53,750,1.728,85.373
B003,NMC_graphite,16.39,0.972,2.672,0.53,760,1.7034,84.157
B003,NMC_graphite,16.39,0.972,2.672,0.53,770,1.7074,84.353
B003,NMC_graphite,16.39,0.972,2.672,0.53,780,1.6846,83.226
B003,NMC_graphite,16.39,0.972,2.672,0.53,790,1.6901,83.501
B003,NMC_graphite,16.39,0.972,2.672,0.53,800,1.6976,83.871
B003,NMC_graphite,16.39,0.972,2.672,0.53,810,1.6905,83.52
B003,NMC_graphite,16.39,0.972,2.672,0.53,820,1.6797,82.986
B003,NMC_graphite,16.39,0.972,2.672,0.53,830,1.6778,82.889
B003,NMC_graphite,16.39,0.972,2.672,0.53,840,1.6838,83.189
B003,NMC_graphite,16.39,0.972,2.672,0.53,850,1.6867,83.333
B003,NMC_graphite,16.39,0.972,2.672,0.53,860,1.6622,82.119
B003,NMC_graphite,16.39,0.972,2.672,0.53,870,1.6712,82.564
B003,NMC_graphite,16.39,0.972,2.672,0.53,880,1.6494,81.491
B003,NMC_graphite,16.39,0.972,2.672,0.53,890,1.6488,81.461
B003,NMC_graphite,16.39,0.972,2.672,0.53,900,1.6546,81.746
B003,NMC_graphite,16.39,0.972,2.672,0.53,910,1.6433,81.189
B003,NMC_graphite,16.39,0.972,2.672,0.53,920,1.6456,81.3
B003,NMC_graphite,16.39,0.972,2.672,0.53,930,1.6365,80.85
B003,NMC_graphite,16.39,0.972,2.672,0.53,940,1.6349,80.77
B003,NMC_graphite,16.39,0.972,2.672,0.53,950,1.6522,81.627
B003,NMC_graphite,16.39,0.972,2.672,0.53,960,1.6266,80.363
B003,NMC_graphite,16.39,0.972,2.672,0.53,970,1.6064,79.364
B003,NMC_graphite,16.39,0.972,2.672,0.53,980,1.6132,79.699
B003,NMC_graphite,16.39,0.972,2.672,0.53,990,1.6003,79.063
B003,NMC_graphite,16.39,0.972,2.672,0.53,1000,1.5762,77.873
B004,NMC_graphite,25.1,2.341,1.643,0.772,0,2.0604,100.261
B004,NMC_graphite,25.1,2.341,1.643,0.772,10,2.0482,99.666
B004,NMC_graphite,25.1,2.341,1.643,0.772,20,2.0263,98.6
B004,NMC_graphite,25.1,2.341,1.643,0.772,30,2.0155,98.075
B004,NMC_graphite,25.1,2.341,1.643,0.772,40,2.0063,97.63
B004,NMC_graphite,25.1,2.341,1.643,0.772,50,1.9982,97.232
B004,NMC_graphite,25.1,2.341,1.643,0.772,60,1.9662,95.678
B004,NMC_graphite,25.1,2.341,1.643,0.772,70,1.9596,95.353
B004,NMC_graphite,25.1,2.341,1.643,0.772,80,1.9477,94.776
B004,NMC_graphite,25.1,2.341,1.643,0.772,90,1.9352,94.17
B004,NMC_graphite,25.1,2.341,1.643,0.772,100,1.91,92.942
B004,NMC_graphite,25.1,2.341,1.643,0.772,110,1.8782,91.393
B004,NMC_graphite,25.1,2.341,1.643,0.772,120,1.8716,91.071
B004,NMC_graphite,25.1,2.341,1.643,0.772,130,1.8442,89.741
B004,NMC_graphite,25.1,2.341,1.643,0.772,140,1.8289,88.995
B004,NMC_graphite,25.1,2.341,1.643,0.772,150,1.8196,88.541
B004,NMC_graphite,25.1,2.341,1.643,0.772,160,1.8027,87.723
B004,NMC_graphite,25.1,2.341,1.643,0.772,170,1.7723,86.239
B004,NMC_graphite,25.1,2.341,1.643,0.772,180,1.7585,85.569
B004,NMC_graphite,25.1,2.341,1.643,0.772,190,1.7331,84.334
B004,NMC_graphite,25.1,2.341,1.643,0.772,200,1.72,83.697
B004,NMC_graphite,25.1,2.341,1.643,0.772,210,1.7012,82.782
B004,NMC_graphite,25.1,2.341,1.643,0.772,220,1.6607,80.813
B004,NMC_graphite,25.1,2.341,1.643,0.772,230,1.6424,79.921
B004,NMC_graphite,25.1,2.341,1.643,0.772,240,1.6339,79.505
B004,NMC_graphite,25.1,2.341,1.643,0.772,250,1.6124,78.463
B004,NMC_graphite,25.1,2.341,1.643,0.772,260,1.5975,77.735
B004,NMC_graphite,25.1,2.341,1.643,0.772,270,1.5716,76.476
B004,NMC_graphite,25.1,2.341,1.643,0.772,280,1.5487,75.361
B004,NMC_graphite,25.1,2.341,1.643,0.772,290,1.5177,73.85
B004,NMC_graphite,25.1,2.341,1.643,0.772,300,1.4839,72.208
B004,NMC_graphite,25.1,2.341,1.643,0.772,310,1.4925,72.626
B004,NMC_graphite,25.1,2.341,1.643,0.772,320,1.452,70.657
B004,NMC_graphite,25.1,2.341,1.643,0.772,330,1.4336,69.759
B004,NMC_graphite,25.1,2.341,1.643,0.772,340,1.4035,68.296
B004,NMC_graphite,25.1,2.341,1.643,0.772,350,1.3823,67.265
B004,NMC_graphite,25.1,2.341,1.643,0.772,360,1.3579,66.076
B004,NMC_graphite,25.1,2.341,1.643,0.772,370,1.3466,65.528
B004,NMC_graphite,25.1,2.341,1.643,0.772,380,1.3171,64.09
B004,NMC_graphite,25.1,2.341,1.643,0.772,390,1.2828,62.42
B004,NMC_graphite,25.1,2.341,1.643,0.772,400,1.2715,61.87
B004,NMC_graphite,25.1,2.341,1.643,0.772,410,1.239,60.291
B004,NMC_graphite,25.1,2.341,1.643,0.772,420,1.2236,59.541
B004,NMC_graphite,25.1,2.341,1.643,0.772,430,1.2119,58.971
B004,NMC_graphite,25.1,2.341,1.643,0.772,440,1.1806,57.451
B004,NMC_graphite,25.1,2.341,1.643,0.772,450,1.1503,55.976
B004,NMC_graphite,25.1,2.341,1.643,0.772,460,1.1278,54.878
B004,NMC_graphite,25.1,2.341,1.643,0.772,470,1.1081,53.922
B004,NMC_graphite,25.1,2.341,1.643,0.772,480,1.072,52.163
B004,NMC_graphite,25.1,2.341,1.643,0.772,490,1.0529,51.235
B004,NMC_graphite,25.1,2.341,1.643,0.772,500,1.0436,50.782
B004,NMC_graphite,25.1,2.341,1.643,0.772,510,1.0065,48.977
B004,NMC_graphite,25.1,2.341,1.643,0.772,520,0.9787,47.624
B004,NMC_graphite,25.1,2.341,1.643,0.772,530,0.9568,46.559
B004,NMC_graphite,25.1,2.341,1.643,0.772,540,0.9374,45.613
B004,NMC_graphite,25.1,2.341,1.643,0.772,550,0.9051,45.0
B004,NMC_graphite,25.1,2.341,1.643,0.772,560,0.8853,45.0
B004,NMC_graphite,25.1,2.341,1.643,0.772,570,0.851,45.0
B004,NMC_graphite,25.1,2.341,1.643,0.772,580,0.8399,45.0
B004,NMC_graphite,25.1,2.341,1.643,0.772,590,0.8178,45.0
B004,NMC_graphite,25.1,2.341,1.643,0.772,600,0.7887,45.0
