alloy_family,carbon_pct,chromium_pct,nickel_pct,austenitize_temp_c,tempering_temp_c,hold_time_h,cooling_rate_c_per_s,hardness_hv,charpy_j
spring_steel,1.0338,1.2858,0.4387,905.25,352.49,3.949,87.596,555.107,60.899
bearing_steel,0.5523,0.5942,0.807,808.97,218.28,3.187,1.0891,377.971,79.155
martensitic_stainless,0.2267,2.2604,1.6712,810.32,476.73,0.612,1.556,304.763,115.677
martensitic_stainless,0.5072,2.8043,2.0469,880.0,172.8,3.441,0.4464,481.048,62.83
martensitic_stainless,0.2506,3.8532,1.3589,810.47,589.05,1.161,39.3698,330.348,112.879
martensitic_stainless,0.4623,2.2453,1.5342,842.73,562.09,0.828,0.9561,266.572,127.787
martensitic_stainless,0.5609,2.7614,1.0201,794.87,273.43,1.55,4.6815,504.961,85.793
martensitic_stainless,0.2459,3.989,0.5493,799.77,209.36,0.789,10.0371,515.24,51.205
bearing_steel,0.8977,1.1184,0.7161,880.89,271.56,3.343,2.2041,492.866,67.444
martensitic_stainless,0.5967,2.9782,0.5246,964.9,625.77,0.278,8.0774,370.675,97.632
low_alloy_steel,0.548,1.4462,2.2102,808.07,390.24,3.318,0.2892,250.663,134.087
spring_steel,0.1962,0.8238,1.3227,931.86,584.26,2.572,64.303,261.728,111.671
martensitic_stainless,0.6788,2.3009,0.0015,921.38,626.07,2.791,1.7086,343.564,101.291
martensitic_stainless,0.2804,3.0762,1.6856,969.72,535.14,3.128,5.3866,355.441,97.649
martensitic_stainless,0.5335,2.2301,1.4399,942.51,611.88,0.42,0.8681,330.401,109.07
bearing_steel,0.5826,1.1727,2.1976,836.62,466.17,0.866,0.1755,280.202,107.02
spring_steel,0.5855,0.8857,0.3469,861.17,208.96,2.078,145.3448,469.131,61.543
bearing_steel,0.4836,0.6969,0.2722,930.77,374.63,3.137,63.0387,428.468,83.558
martensitic_stainless,0.6536,2.315,0.1577,972.15,246.42,1.638,155.2032,585.826,60.674
martensitic_stainless,0.8302,2.3385,1.6918,788.81,346.72,1.766,0.91,474.451,77.64
martensitic_stainless,1.0024,2.6052,0.2349,857.39,174.37,1.69,2.7591,599.347,40.258
spring_steel,0.7425,1.4956,1.7023,865.46,512.71,2.33,48.8537,384.76,101.576
bearing_steel,0.4551,0.8921,2.2735,924.8,506.64,2.51,114.067,377.905,114.636
spring_steel,0.8679,1.6875,0.3003,812.59,418.64,1.174,0.1026,316.719,109.394
spring_steel,0.4519,0.4641,0.8067,970.62,218.95,1.142,79.5467,447.049,77.414
low_alloy_steel,0.7113,0.4301,1.4158,783.5,305.35,3.925,8.1872,339.592,105.086
martensitic_stainless,0.6626,3.2225,0.4435,778.3,381.19,2.267,0.9581,433.557,83.61
martensitic_stainless,0.7972,3.4221,2.308,958.65,433.36,0.484,124.6681,607.406,83.248
spring_steel,0.5441,0.7934,0.9822,793.12,262.08,3.305,0.1068,312.161,96.656
bearing_steel,0.7758,0.7865,1.2961,913.73,180.55,3.209,7.2931,495.38,66.388
bearing_steel,0.8645,1.4134,0.671,792.58,479.22,2.382,18.4505,417.576,89.028
bearing_steel,0.9288,1.936,0.551,881.33,261.92,1.858,30.6207,550.329,68.72
spring_steel,0.3391,0.3641,2.0616,897.35,240.94,0.773,0.3371,305.173,104.56
spring_steel,0.6121,1.2636,0.4548,901.19,286.25,2.144,0.4272,357.111,89.537
low_alloy_steel,0.6977,1.6137,2.0564,956.45,398.42,1.876,129.952,458.199,84.859
bearing_steel,0.2004,1.6841,1.5566,894.94,614.23,3.22,38.9548,248.228,116.324
low_alloy_steel,0.4238,0.5142,2.0053,861.28,314.61,3.529,42.1888,329.202,98.321
martensitic_stainless,0.6081,3.337,1.627,861.18,490.22,2.454,1.3361,412.188,106.548
bearing_steel,0.4759,1.1824,2.4404,896.59,475.17,3.308,26.7882,331.526,110.956
bearing_steel,0.2882,1.7098,0.6302,829.28,459.91,2.511,0.5526,238.208,108.062
low_alloy_steel,0.6892,0.7705,1.7952,919.95,252.08,3.072,55.477,447.387,92.209
martensitic_stainless,0.589,2.9445,0.1135,859.41,378.69,1.172,0.1043,455.965,94.316
spring_steel,0.7662,0.7463,0.8988,805.55,210.75,1.142,0.1113,356.62,92.313
bearing_steel,0.245,1.5857,2.4694,960.38,160.14,0.269,0.1657,395.652,83.327
low_alloy_steel,0.7077,1.1375,1.3849,943.76,504.98,3.754,0.3266,250.33,123.468
spring_steel,0.6602,1.7994,0.9651,925.85,608.49,3.855,55.3182,349.454,104.103
bearing_steel,0.3155,0.2897,0.5786,767.6,625.89,2.848,9.0921,150.832,149.342
martensitic_stainless,0.3783,3.6742,0.5462,832.83,393.24,3.745,2.9674,403.963,89.284
low_alloy_steel,0.433,0.9158,2.0196,798.07,350.81,0.439,0.7503,244.904,136.091
spring_steel,1.0136,0.5451,1.6939,842.83,313.29,2.861,1.5443,446.031,75.535
martensitic_stainless,0.508,3.9817,2.2542,969.97,556.99,3.036,4.9883,443.452,92.644
spring_steel,0.183,0.6974,2.2362,855.6,472.3,1.531,5.0308,214.637,137.691
martensitic_stainless,0.8729,3.9181,0.6088,897.84,641.77,1.779,1.4163,456.192,84.259
low_alloy_steel,0.8318,0.1308,1.6247,927.75,160.06,3.106,1.1012,409.048,83.512
spring_steel,0.9421,0.1501,2.4391,814.19,470.28,2.956,0.2591,310.186,125.011
bearing_steel,0.926,0.169,0.1473,869.69,491.33,3.298,0.7799,301.888,88.817
bearing_steel,0.6945,1.8617,0.4917,812.31,208.63,1.562,26.6754,478.571,74.147
low_alloy_steel,0.7841,1.3699,0.2939,922.25,162.5,3.418,1.5317,469.422,59.597
bearing_steel,0.66,0.8948,2.3901,881.2,649.09,1.409,0.205,215.418,151.188
martensitic_stainless,0.5981,3.3616,1.5254,792.31,408.86,3.177,5.6164,426.865,95.806
bearing_steel,0.7253,0.8991,1.9104,899.89,387.37,3.333,16.7843,411.779,92.175
low_alloy_steel,0.9367,0.1863,0.8294,875.61,246.55,2.5,14.5235,443.962,75.583
martensitic_stainless,1.006,2.2752,0.8612,904.1,300.94,0.773,1.1282,540.944,66.153
spring_steel,0.6274,1.3642,0.1656,788.92,365.66,3.113,3.1077,307.69,98.189
martensitic_stainless,0.5367,2.5682,1.2509,803.47,201.63,2.317,0.5772,483.238,81.891
bearing_steel,0.9822,1.8203,0.8871,910.27,536.67,0.951,3.3733,401.441,82.589
martensitic_stainless,0.9778,3.736,1.8001,923.94,196.96,1.246,8.6359,722.623,45.753
bearing_steel,0.1819,0.5907,1.3501,808.97,448.29,2.207,3.2029,219.627,117.09
spring_steel,0.9782,0.7139,0.3356,946.59,298.93,0.258,2.3843,410.378,83.584
martensitic_stainless,0.2396,3.2966,0.7634,967.86,389.55,3.983,0.4909,389.836,82.779
martensitic_stainless,0.5919,2.4254,1.5819,962.93,417.13,1.693,5.5578,494.913,73.935
bearing_steel,0.6791,0.4598,1.2273,976.56,201.51,1.585,14.3148,509.82,66.359
spring_steel,0.1774,0.4291,2.4073,894.68,486.83,2.323,4.4485,222.269,129.274
low_alloy_steel,0.5394,1.1656,0.7647,935.21,589.09,1.758,88.8646,271.054,105.178
bearing_steel,0.9135,0.2517,0.1358,867.47,574.06,0.205,1.9577,291.428,108.161
martensitic_stainless,0.5654,2.2595,1.3609,877.04,414.23,1.213,66.3018,484.12,82.329
spring_steel,0.8096,1.4805,0.8634,778.8,304.35,2.263,39.961,474.899,88.135
spring_steel,0.2853,1.7199,1.1104,899.14,271.75,2.694,70.5606,407.061,84.409
low_alloy_steel,0.6989,1.9415,1.3519,897.21,190.08,3.209,3.0312,443.337,60.796
bearing_steel,0.6933,1.9479,0.1842,883.65,365.02,1.795,6.0202,418.134,76.482
spring_steel,0.6375,1.7348,0.8449,832.49,423.13,3.472,0.234,323.67,97.797
low_alloy_steel,1.0313,1.8988,1.1599,931.41,357.54,3.64,0.572,405.086,81.207
bearing_steel,0.9778,1.8425,0.6384,973.98,367.77,3.728,1.9464,474.871,79.038
spring_steel,0.6302,0.3476,1.0692,815.48,417.84,1.816,8.2689,317.668,108.791
martensitic_stainless,0.8082,3.2059,2.4825,918.61,427.47,0.515,3.9669,520.955,87.028
bearing_steel,0.3805,1.3626,1.9139,763.75,311.64,1.458,9.1689,374.997,90.094
bearing_steel,0.2922,0.9683,0.4526,885.49,514.16,0.844,5.4001,240.712,124.172
spring_steel,0.5514,1.5853,1.5325,781.18,622.97,1.868,0.151,166.972,150.308
spring_steel,0.1535,1.5903,0.9572,903.09,446.89,3.83,0.2305,198.815,116.882
martensitic_stainless,0.3345,3.3803,1.2957,903.17,550.92,1.006,20.8729,383.929,109.067
bearing_steel,0.9044,0.5457,1.186,922.38,487.27,0.548,66.4767,462.413,93.418
low_alloy_steel,0.9046,0.4468,2.0872,912.7,310.42,1.067,0.4375,327.115,108.186
spring_steel,0.7785,0.3703,1.5215,886.96,503.27,2.068,87.4793,409.11,96.264
spring_steel,0.9343,1.6288,1.3933,801.31,531.26,1.58,0.4407,342.756,108.104
low_alloy_steel,0.6085,0.3085,0.1684,965.44,418.17,2.075,89.5865,341.631,81.85
bearing_steel,1.0,1.6771,2.4325,960.58,287.86,3.203,1.5388,532.523,82.608
spring_steel,0.6623,1.4166,0.3392,960.32,430.56,1.955,83.4076,405.903,85.935
bearing_steel,0.8106,0.4472,0.0523,975.84,491.95,2.197,0.9388,356.532,97.449
low_alloy_steel,0.8634,1.1504,0.8115,965.46,438.51,1.686,0.9748,341.835,93.505
bearing_steel,0.5604,1.6051,1.0333,866.11,222.6,2.542,0.1606,348.086,91.082
spring_steel,0.4838,0.3646,1.5454,809.73,618.31,0.443,7.6251,197.676,119.454
martensitic_stainless,0.3423,3.1717,2.1431,858.79,214.8,1.691,0.2099,453.592,77.096
martensitic_stainless,0.4171,2.1874,1.375,974.85,363.32,1.547,6.7731,452.54,85.279
bearing_steel,0.399,1.2859,2.3586,879.98,368.83,2.528,65.7689,393.019,96.156
martensitic_stainless,0.5459,3.6044,0.9637,770.53,412.67,3.811,4.9347,431.491,89.052
spring_steel,0.5595,0.12,2.4237,778.31,202.55,3.949,9.5967,394.801,84.014
martensitic_stainless,0.4594,3.4454,1.8691,775.7,640.91,2.55,34.8633,376.973,116.401
low_alloy_steel,1.0355,1.1695,1.0253,916.62,627.4,2.988,27.3437,336.658,106.604
low_alloy_steel,0.749,0.1732,1.7047,828.93,400.88,1.425,18.8339,315.637,109.575
spring_steel,0.5634,0.479,0.9293,975.56,267.54,3.322,0.3189,363.516,92.256
bearing_steel,0.8808,0.5138,1.0495,852.82,302.17,1.479,6.0441,406.787,83.281
spring_steel,0.1739,0.2443,0.5731,944.1,381.58,3.18,0.7919,218.107,108.057
bearing_steel,0.2538,0.381,0.6771,885.68,508.25,0.55,0.4913,133.527,126.213
spring_steel,0.6361,1.329,0.0474,845.97,432.45,0.369,0.2067,287.734,91.391
bearing_steel,0.5301,0.4778,0.9869,891.53,258.81,3.456,8.4416,418.031,74.459
martensitic_stainless,0.7856,2.5671,1.9255,976.19,337.81,2.584,57.9962,592.104,72.857
low_alloy_steel,0.3809,0.4337,2.2003,962.67,174.29,0.639,0.2057,335.751,89.582
spring_steel,0.466,1.5648,1.2908,888.72,526.75,2.679,64.0209,342.91,121.12
low_alloy_steel,0.4638,0.1749,0.4626,789.84,626.73,1.582,0.157,120.0,125.113
martensitic_stainless,0.8956,3.3952,2.4254,961.31,383.29,2.573,0.4827,521.242,79.968
martensitic_stainless,0.9011,3.2067,2.1374,954.35,207.55,1.857,0.5082,617.41,65.801
low_alloy_steel,0.9194,0.5998,1.0868,929.27,192.77,2.624,0.1529,393.551,76.925
low_alloy_steel,0.7796,1.0444,0.8338,850.61,417.4,3.494,20.7471,342.023,94.466
spring_steel,0.9301,1.6005,0.4342,856.34,429.31,1.551,0.1684,349.289,88.272
bearing_steel,0.8682,1.1096,1.1793,777.99,283.83,3.732,4.8027,462.073,71.523
low_alloy_steel,0.5,1.452,0.3261,855.86,506.98,3.391,2.5082,206.772,107.281
low_alloy_steel,0.9677,0.2529,2.0136,852.73,280.34,3.071,0.8265,380.745,81.105
low_alloy_steel,0.9676,0.2015,1.4314,833.26,192.5,3.956,7.2077,424.253,88.071
martensitic_stainless,0.2389,2.7331,1.3835,801.69,347.16,3.615,13.082,429.527,83.446
spring_steel,0.869,1.9895,0.2271,941.13,495.43,3.431,88.8423,441.486,90.099
bearing_steel,0.4678,1.9622,1.5349,917.59,517.19,2.425,0.4239,298.715,120.276
martensitic_stainless,0.8356,2.425,1.6912,884.51,341.73,3.624,0.3684,508.746,73.149
bearing_steel,0.1868,0.6203,0.4314,959.68,292.08,0.37,0.2369,246.782,96.395
spring_steel,0.5332,1.7046,0.2724,825.26,196.24,3.536,0.1858,337.984,81.293
low_alloy_steel,0.4477,1.8658,0.9674,928.42,505.8,0.502,2.5833,265.4,105.863
bearing_steel,0.4911,1.7221,1.968,847.68,167.52,2.052,3.9529,420.522,75.441
bearing_steel,0.8135,1.9302,1.6087,979.23,367.23,1.462,4.1947,457.112,81.805
martensitic_stainless,1.0298,2.1903,1.0028,960.73,422.71,1.186,113.6392,589.332,63.06
spring_steel,1.0126,0.1015,1.6642,765.82,564.24,2.92,9.2733,331.629,113.705
martensitic_stainless,1.0429,3.3771,2.3333,903.82,582.39,2.605,104.3441,566.16,82.48
low_alloy_steel,0.3225,0.7452,2.1351,919.77,482.93,2.987,1.3551,212.327,138.965
low_alloy_steel,0.7431,1.1386,0.4354,963.46,385.88,2.858,115.449,401.069,72.232
bearing_steel,0.625,0.4364,1.1999,862.29,411.66,2.586,0.2111,278.558,106.437
low_alloy_steel,0.784,1.0159,1.5747,912.66,525.43,3.408,52.1677,349.862,113.723
low_alloy_steel,0.4168,1.0787,1.2613,881.31,208.35,2.068,4.7668,353.299,92.404
bearing_steel,0.9877,1.6873,2.4024,926.92,378.25,2.493,21.2353,541.264,83.721
martensitic_stainless,0.2203,3.77,2.3181,803.35,566.24,2.197,2.7613,309.337,124.795
low_alloy_steel,0.1752,0.1579,0.5609,789.04,533.43,2.768,18.1664,120.0,133.42
low_alloy_steel,0.2968,1.2799,1.0537,974.58,616.94,1.573,22.2623,214.064,116.868
spring_steel,0.3923,1.9968,2.2921,873.18,555.49,3.604,111.9431,346.898,130.621
bearing_steel,0.8055,1.0065,1.8441,903.19,348.63,0.427,0.1224,391.075,102.153
spring_steel,0.5397,1.6449,0.4334,816.66,291.15,1.623,1.9122,342.454,94.844
spring_steel,0.3219,0.1217,0.3379,854.87,292.4,3.804,9.9232,337.862,93.944
spring_steel,0.7386,0.9511,0.0537,805.39,638.07,1.843,4.5795,226.383,114.301
bearing_steel,0.4763,1.3929,2.2654,930.71,420.98,3.094,146.7627,418.981,87.745
spring_steel,0.9057,0.2461,2.1509,951.5,603.25,2.205,0.3281,287.848,111.575
spring_steel,0.6134,1.9813,0.7355,877.33,514.81,0.943,1.8806,261.61,114.635
low_alloy_steel,0.3894,1.096,2.4515,947.56,585.15,2.287,0.2797,160.058,157.191
bearing_steel,1.0137,0.4995,0.9669,927.26,582.08,3.319,1.0857,359.249,90.739
bearing_steel,1.0122,1.9972,1.5725,887.29,620.05,0.643,10.4204,400.18,89.506
spring_steel,0.7179,1.7039,0.5365,913.11,347.75,1.616,0.6841,378.225,72.902
spring_steel,0.5706,1.0654,1.5564,862.13,557.84,0.254,47.9666,368.361,97.386
martensitic_stainless,0.3934,3.0393,1.9493,799.23,288.34,1.512,10.5837,496.195,85.612
spring_steel,0.4006,0.5339,0.3353,944.43,397.9,3.677,0.1241,257.391,121.605
low_alloy_steel,0.6461,1.6197,0.224,826.19,248.78,0.206,25.6341,409.476,83.777
low_alloy_steel,0.8054,0.4431,2.3689,882.77,217.8,3.975,0.3038,374.89,82.121
martensitic_stainless,0.4699,2.5528,1.0244,861.33,389.59,0.376,0.3205,375.541,97.366
spring_steel,0.5825,1.5455,2.2456,848.68,529.07,0.479,0.2879,240.959,124.647
martensitic_stainless,0.5891,2.5776,1.2511,942.89,175.31,3.47,37.4853,574.187,59.55
martensitic_stainless,0.4528,3.6723,2.3783,854.23,220.57,3.12,0.869,480.784,77.617
martensitic_stainless,0.6715,3.9571,0.6925,887.27,517.41,2.942,0.1727,396.141,89.833
low_alloy_steel,0.1839,0.2564,0.7439,783.38,355.25,1.073,19.3384,170.959,119.127
spring_steel,0.6169,1.9391,1.8063,771.65,303.77,3.364,1.6354,386.639,97.529
spring_steel,0.2095,1.4712,2.3407,868.16,557.5,2.914,144.8144,271.472,117.825
bearing_steel,0.435,0.1086,2.4184,956.29,564.23,2.261,8.3635,283.036,116.988
spring_steel,0.4186,1.3256,1.8697,760.93,626.6,1.485,23.9397,222.575,119.649
low_alloy_steel,0.7375,1.7274,2.4724,902.84,179.74,2.304,2.2705,409.778,67.087
low_alloy_steel,0.6359,0.8624,0.5755,955.36,531.78,3.713,74.1798,347.948,100.137
spring_steel,0.6181,1.8804,0.7215,926.78,351.06,0.652,15.0564,403.219,82.628
bearing_steel,0.3109,1.497,0.1062,865.74,288.92,2.125,7.1983,365.196,82.63
martensitic_stainless,0.7851,3.853,0.2301,954.17,388.13,3.063,11.0076,548.393,63.463
low_alloy_steel,0.8436,1.6697,2.3319,965.4,443.05,0.428,22.3562,390.488,89.448
spring_steel,1.0421,0.1875,1.7377,900.07,628.12,2.684,39.594,373.981,114.83
spring_steel,0.7545,1.6877,0.6359,878.25,331.75,0.889,1.7541,394.882,98.47
bearing_steel,0.8949,1.8694,0.5615,817.15,363.1,1.419,2.0261,441.464,93.023
low_alloy_steel,0.8151,0.4366,1.5995,773.53,219.53,0.644,124.7592,480.098,67.112
bearing_steel,0.7987,0.9721,2.2769,862.75,293.08,2.291,0.1279,424.6,92.107
spring_steel,0.6496,0.6702,2.041,918.75,223.34,3.768,0.19,402.918,81.598
spring_steel,0.892,0.2405,0.021,857.6,252.59,2.138,7.9929,432.025,68.557
bearing_steel,0.9912,1.5043,1.1154,928.56,299.66,2.462,65.2508,552.783,74.521
martensitic_stainless,0.5081,3.0921,1.5839,878.87,329.44,2.748,19.8984,513.52,76.532
low_alloy_steel,0.6966,1.4517,1.8199,843.26,182.77,1.472,91.0825,432.172,68.826
low_alloy_steel,0.8954,1.5967,0.9305,927.6,247.46,0.31,86.2225,498.568,69.726
bearing_steel,1.0364,1.6446,1.973,958.76,634.36,0.674,2.2887,403.766,99.142
bearing_steel,0.3516,1.0086,0.9351,890.89,412.01,0.679,2.706,266.77,118.382
martensitic_stainless,0.5448,3.8817,1.8499,922.36,531.49,2.1,8.3108,428.553,99.502
low_alloy_steel,0.8225,0.1987,2.4728,917.18,520.43,1.533,6.3431,275.678,131.276
low_alloy_steel,0.9856,1.65,1.5085,947.19,348.51,1.745,0.4403,403.295,85.57
martensitic_stainless,0.5284,3.9236,2.4103,945.19,372.66,3.865,0.1392,485.072,93.727
martensitic_stainless,0.7158,3.5934,0.0723,776.21,603.05,0.487,0.7956,339.587,89.36
martensitic_stainless,0.3302,3.2445,1.7191,845.64,555.94,3.7,22.3957,400.275,102.809
martensitic_stainless,0.4583,2.6736,1.0563,867.55,455.08,1.096,0.2012,370.409,102.415
martensitic_stainless,0.3584,3.633,0.9353,922.93,360.62,2.302,1.3602,414.062,93.892
low_alloy_steel,0.2703,0.5603,2.2367,959.79,191.59,0.562,49.0824,379.42,90.315
spring_steel,0.3204,0.7698,0.7146,885.2,344.33,0.316,8.9056,293.773,102.356
low_alloy_steel,0.9523,1.634,2.0462,778.97,271.36,0.718,5.4518,446.849,75.794
bearing_steel,0.8342,0.1554,0.8094,879.56,459.06,0.467,1.7603,363.603,93.204
low_alloy_steel,0.3687,1.4658,1.2415,850.58,568.55,0.32,0.8329,120.0,153.789
spring_steel,0.1935,0.43,1.771,954.83,562.24,0.47,45.1531,240.027,119.616
spring_steel,0.3366,1.7555,2.3133,811.9,466.11,1.809,0.1361,229.16,128.872
bearing_steel,0.2489,1.6512,1.4079,809.77,444.22,2.726,0.4598,217.133,129.206
spring_steel,0.5078,0.8716,1.4753,959.88,476.89,1.941,12.3911,336.793,113.925
spring_steel,0.5013,0.4983,1.5261,873.73,197.48,2.467,61.2477,427.708,89.164
low_alloy_steel,0.2909,1.9275,1.6943,852.15,376.45,3.142,3.2805,251.531,104.218
martensitic_stainless,0.1698,2.8818,1.2176,943.78,582.48,0.55,0.2079,259.013,139.234
martensitic_stainless,0.5019,2.6866,0.4031,943.15,364.58,0.575,6.3515,469.675,69.453
bearing_steel,0.2806,0.4824,1.6305,929.83,293.24,2.555,45.845,399.699,96.613
spring_steel,0.6197,1.9293,0.8187,928.44,191.93,1.471,7.3294,443.558,76.893
bearing_steel,0.2125,0.2027,1.4079,821.89,369.88,1.671,11.6975,261.138,107.019
bearing_steel,0.3889,1.5127,0.4692,852.59,582.85,1.273,1.4458,205.583,109.5
low_alloy_steel,0.2222,0.6334,0.0948,850.79,632.16,2.605,0.5984,120.0,132.341
low_alloy_steel,0.8748,0.1834,1.0648,783.78,251.3,2.059,0.4251,337.668,87.42
low_alloy_steel,0.368,0.3049,1.3743,938.47,452.31,2.783,0.3022,207.643,129.298
martensitic_stainless,1.0183,3.0653,2.1877,886.65,322.4,3.97,10.3221,631.992,63.039
martensitic_stainless,0.6954,2.7981,0.5234,782.75,210.46,0.597,7.2995,538.4,71.64
martensitic_stainless,1.0245,3.0845,0.2419,930.7,447.73,3.883,32.7978,575.69,76.551
spring_steel,0.757,0.8594,0.9072,845.83,565.57,2.947,75.6254,344.649,110.563
low_alloy_steel,0.2333,0.1262,0.3603,944.69,184.6,2.829,4.2027,311.887,101.748
martensitic_stainless,0.4931,2.9406,0.1414,974.16,372.88,2.715,74.3983,527.306,54.896
bearing_steel,0.8702,0.7728,1.2415,946.24,553.89,1.012,0.2412,327.745,122.533
spring_steel,0.8952,1.7572,1.7606,903.52,244.3,2.961,13.451,513.731,74.118
martensitic_stainless,0.6554,3.3412,2.3858,953.13,336.63,1.53,2.2406,508.444,73.45
spring_steel,0.293,1.9846,2.4147,782.32,273.18,3.731,3.4321,336.623,102.816
spring_steel,0.3657,1.375,1.4428,901.47,168.67,0.295,117.5221,463.469,75.349
low_alloy_steel,0.9828,1.4093,1.7959,850.21,192.39,0.272,157.1987,546.518,52.405
martensitic_stainless,0.4065,2.5137,0.2695,869.54,265.97,2.438,0.1845,429.546,84.769
low_alloy_steel,0.4438,0.5122,1.0923,961.04,161.34,1.149,2.5688,396.589,95.833
spring_steel,0.9238,0.8564,1.9761,861.33,308.47,1.651,77.2017,493.114,83.503
low_alloy_steel,0.4291,1.4201,2.2221,872.41,340.85,3.611,73.3483,367.219,96.351
spring_steel,0.2516,1.3789,0.4391,925.06,406.56,1.18,0.1046,210.659,115.799
martensitic_stainless,0.3035,3.7457,0.1186,781.91,186.9,2.892,14.4903,458.058,58.079
martensitic_stainless,0.502,2.4605,1.0859,803.75,290.77,1.39,3.5314,428.247,85.19
bearing_steel,0.3161,1.1054,2.1762,840.69,269.86,0.899,11.5223,381.712,96.336
martensitic_stainless,0.4689,3.8669,1.5717,771.39,181.05,3.079,56.6493,561.717,61.066
bearing_steel,0.4551,0.5477,2.4212,880.33,236.77,1.472,2.6591,398.961,90.585
bearing_steel,0.4188,1.4731,2.325,855.71,475.6,2.189,1.5785,282.764,98.158
low_alloy_steel,0.5955,0.8205,2.2148,942.49,399.1,1.189,19.5288,332.271,107.931
low_alloy_steel,0.675,0.1396,2.4664,979.8,329.6,3.844,0.1396,335.974,116.429
spring_steel,1.0259,1.4303,2.4914,941.48,399.38,1.511,0.5177,414.483,83.749
low_alloy_steel,0.6746,0.1338,0.1857,900.78,412.16,1.456,69.1521,337.222,94.765
low_alloy_steel,0.7911,0.8307,2.1024,970.07,533.19,2.036,1.8702,292.105,111.815
bearing_steel,0.9144,0.1362,0.4284,770.42,326.3,1.917,12.5524,410.07,72.564
bearing_steel,0.2044,1.0664,2.1982,847.94,156.81,2.114,4.287,390.066,78.489
low_alloy_steel,0.8963,0.5362,1.5666,930.41,371.35,1.58,34.7818,411.201,88.153
bearing_steel,0.5797,0.5528,0.6694,765.53,400.8,2.832,0.4998,259.582,99.929
martensitic_stainless,0.2813,2.6197,1.8569,964.17,464.3,1.119,28.8942,434.279,94.612
low_alloy_steel,0.2974,1.0966,1.7088,897.3,189.24,3.951,1.4513,301.124,100.667
spring_steel,0.4159,1.5262,2.0135,883.73,385.81,1.646,78.5081,386.472,92.51
low_alloy_steel,0.9109,1.2572,0.8918,867.65,150.4,2.28,23.8589,542.706,45.616
martensitic_stainless,0.7591,2.7196,0.6808,944.92,592.12,1.416,12.1331,450.758,99.92
bearing_steel,0.6778,1.1761,1.6125,837.68,275.42,2.838,0.6368,400.741,89.537
spring_steel,0.337,1.5767,2.2227,900.03,625.09,3.467,35.8058,267.151,133.897
low_alloy_steel,0.371,0.5492,0.7769,899.26,270.84,1.864,2.4055,259.247,106.7
spring_steel,0.5163,1.0812,1.7327,840.56,564.29,3.89,7.9721,228.936,133.807
